intensity_mode,event_intensity,lambda_base,edge_gain,edge_exp,vol_gain,vol_exp,vol_ema_alpha,vol_ref,lambda_min,lambda_max,sell_propensity,order_size_dist,edge_threshold,ra_mean,ra_sd,ra_lo,ra_hi,seed,subject_count,treated_count,b,score,gate_pass,ratio_trades_per_agent_round,ratio_quantity_per_agent_round,ratio_median_order_size,ratio_sell_share,ratio_negative_cost_share,gate_trades_per_agent_round,gate_quantity_per_agent_round,gate_median_order_size,gate_sell_share,gate_negative_cost_share,gate_all_four_markets_active
state_hybrid,1.3635,0.8651,0.3803,2.0109,2.0939,0.7828,0.293,0.0176,0.2686,5.2589,0.2835,"geometric:p=0.74,tail=0.45",0.0314,0.4949,0.111,0.05,0.95,53,9,3,36.0,0.49932055290553984,True,1.0077565632458232,0.6147018030513175,1.0,1.0024910551788782,1.0024910551788782,True,True,True,True,True,True
state_hybrid,1.3635,1.7786,0.4714,1.2741,0.8786,1.9856,0.1743,0.0309,0.1625,3.436,0.3811,"geometric:p=0.74,tail=0.45",0.0212,0.6816,0.1519,0.05,0.95,57,9,3,36.0,0.6400361890204155,True,1.3323389021479712,0.7180767452612112,1.0,1.011020983548067,1.011020983548067,True,True,True,True,True,True
state_hybrid,1.3635,1.7176,0.5522,0.8289,0.4141,1.5075,0.1862,0.0765,0.254,2.2791,0.6123,"geometric:p=0.68,tail=0.35",0.0219,0.4643,0.2582,0.05,0.95,64,9,3,36.0,0.7613399538595282,True,1.0411694510739857,0.6209893666204346,1.0,1.1300671322581974,1.1300671322581974,True,True,True,True,True,True
state_hybrid,1.3635,1.0,1.25,1.0,1.0,1.0,0.2,0.05,0.05,4.0,0.7799,"geometric:p=0.68,tail=0.35",0.0139,0.431,0.0569,0.05,0.95,42,9,3,36.0,0.8905647516299338,True,1.1515513126491645,0.6466944059177069,1.0,1.1697460395144217,1.1697460395144217,True,True,True,True,True,True
state_hybrid,1.3635,0.7675,0.5197,2.0299,0.6924,1.5715,0.3597,0.0561,0.2084,3.9707,0.8076,"geometric:p=0.74,tail=0.45",0.0192,0.5781,0.1049,0.05,0.95,61,9,3,36.0,1.0350498123497078,True,0.821599045346062,0.5180767452612113,1.0,1.094675059163524,1.094675059163524,True,True,True,True,True,True
state_hybrid,1.3635,0.7184,1.7122,1.4947,0.6409,1.5634,0.4547,0.0107,0.284,4.9001,0.4212,"geometric:p=0.68,tail=0.35",0.017,0.6986,0.1274,0.05,0.95,44,9,3,36.0,0.8254048189072926,False,0.951670644391408,0.473416551086454,1.0,0.9860536970641056,0.9860536970641056,True,False,True,True,True,True
state_hybrid,1.3635,1.4976,0.7654,0.6998,0.8309,1.065,0.1555,0.1137,0.308,2.8678,0.626,"geometric:p=0.68,tail=0.35",0.0278,0.6773,0.1555,0.05,0.95,48,9,3,36.0,0.8856165619940822,False,0.9278042959427207,0.4892279241793805,1.0,1.0490423024356748,1.0490423024356748,True,False,True,True,True,True
state_hybrid,1.3635,1.6128,1.4882,0.7284,2.1986,1.9458,0.5345,0.1119,0.2986,2.0814,0.5157,powerlaw:alpha=1.5,0.0196,0.4205,0.0635,0.05,0.95,58,9,3,36.0,1.022567911574286,False,1.1575178997613365,0.4346740638002774,1.0,1.0217997840767163,1.0217997840767163,True,False,True,True,True,True
state_hybrid,1.3635,1.5922,0.4577,1.3065,0.7534,0.6555,0.4356,0.0801,0.0991,5.1285,0.5586,"geometric:p=0.74,tail=0.45",0.0292,0.2248,0.0673,0.05,0.95,65,9,3,36.0,1.1569981723858336,False,1.0041766109785202,0.7305594082293111,2.0,1.075589815292678,1.075589815292678,True,True,False,True,True,True
state_hybrid,1.3635,1.2319,1.4699,1.8094,0.3143,1.5555,0.3014,0.1038,0.0635,6.2921,0.2521,"geometric:p=0.68,tail=0.35",0.0184,0.5175,0.2053,0.05,0.95,60,9,3,36.0,1.1932777830970545,False,0.9128878281622911,0.4668515950069348,1.0,0.84349961750614,0.84349961750614,True,False,True,True,True,True
state_hybrid,1.3635,0.9616,2.4669,1.0611,1.7681,1.3553,0.2615,0.1153,0.3484,4.1456,0.667,"geometric:p=0.62,tail=0.25",0.017,0.3684,0.2728,0.05,0.95,59,9,3,36.0,1.2252146948985685,False,0.8687350835322195,0.40314378178455845,1.0,1.0920075817406412,1.0920075817406412,True,False,True,True,True,True
state_hybrid,1.3635,0.8076,0.8049,1.5201,0.7255,1.5561,0.4989,0.0539,0.0846,6.4869,0.5312,"geometric:p=0.74,tail=0.45",0.0141,0.2436,0.0752,0.05,0.95,49,9,3,36.0,1.248655598062133,False,0.9785202863961813,0.6742487286176606,2.0,1.0723143186257325,1.0723143186257325,True,True,False,True,True,True
state_hybrid,1.3635,1.3132,0.3063,1.0763,0.6464,1.7915,0.3883,0.1081,0.0396,3.4362,0.2194,"geometric:p=0.62,tail=0.25",0.0198,0.4727,0.0561,0.05,0.95,43,9,3,36.0,1.265956328581273,False,0.9319809069212409,0.40767452612112803,1.0,0.8614712354770774,0.8614712354770774,True,False,True,True,True,True
state_hybrid,1.3635,1.2294,1.8353,0.721,0.6558,1.0986,0.0899,0.0356,0.0443,2.6733,0.6132,powerlaw:alpha=1.5,0.0264,0.4051,0.0982,0.05,0.95,46,9,3,36.0,1.3866257049597717,False,0.8633651551312649,0.3374942209893666,1.0,1.0797727791976317,1.0797727791976317,True,False,True,True,True,True
state_hybrid,1.3635,0.9064,1.5737,1.0067,0.6404,0.76,0.3656,0.0352,0.3178,5.7561,0.2461,"geometric:p=0.62,tail=0.25",0.0207,0.5545,0.0993,0.05,0.95,55,9,3,36.0,1.4352231345974429,False,0.8621718377088305,0.34988441978733237,1.0,0.8883539501076431,0.8883539501076431,True,False,True,True,True,True
state_hybrid,1.3635,1.6278,1.2021,0.9783,1.2786,1.7814,0.1506,0.0443,0.3484,4.6444,0.4848,powerlaw:alpha=1.5,0.0333,0.2805,0.1017,0.05,0.95,54,9,3,36.0,1.5763155008675755,False,0.7279236276849641,0.29986130374479886,1.0,0.9732049685259365,0.9732049685259365,True,False,True,True,True,True
state_hybrid,1.3635,0.6286,2.3549,1.5351,1.1453,1.8662,0.4537,0.0309,0.043,3.4846,0.4753,"geometric:p=0.68,tail=0.35",0.031,0.5845,0.2049,0.05,0.95,56,9,3,36.0,1.75720093133987,False,0.5525059665871122,0.3238095238095238,1.0,1.018320834127931,1.018320834127931,True,False,True,True,True,True
state_hybrid,1.3635,0.9843,1.7613,1.115,0.8324,1.8154,0.0863,0.0604,0.3495,6.4793,0.2476,powerlaw:alpha=1.5,0.0196,0.3526,0.2646,0.05,0.95,62,9,3,36.0,1.791064178985062,False,0.8353221957040572,0.2997688395746648,1.0,0.8161220299207979,0.8161220299207979,True,False,True,True,True,True
state_hybrid,1.3635,0.8104,2.3575,1.6545,1.4183,0.9153,0.4146,0.028,0.139,6.4445,0.616,"geometric:p=0.62,tail=0.25",0.0351,0.5623,0.2439,0.05,0.95,47,9,3,36.0,1.9980912670334765,False,0.5417661097852028,0.2679611650485437,1.0,1.0347176365231707,1.0347176365231707,True,False,True,True,True,True
state_hybrid,1.3635,1.6392,2.2284,1.2228,0.5155,1.9423,0.4018,0.0773,0.3457,4.6661,0.2051,"geometric:p=0.62,tail=0.25",0.0468,0.3697,0.2026,0.05,0.95,63,9,3,36.0,2.682151422039433,False,0.5161097852028639,0.23948220064724918,1.0,0.74399591696241,0.74399591696241,True,False,True,True,True,False
state_hybrid,1.3635,1.3126,1.6202,0.8869,1.725,1.486,0.4393,0.0683,0.0102,2.918,0.2127,"geometric:p=0.68,tail=0.35",0.0518,0.6594,0.2413,0.05,0.95,52,9,3,36.0,2.706036621046034,False,0.4624105011933174,0.23384188626907074,1.0,0.7859892693912698,0.7859892693912698,False,False,True,True,True,False
state_hybrid,1.3635,0.8102,1.6922,0.8229,1.0695,1.3533,0.5269,0.1063,0.0996,3.8531,0.3161,"geometric:p=0.62,tail=0.25",0.0511,0.6553,0.1186,0.05,0.95,51,9,3,36.0,3.112437486450628,False,0.3615751789976133,0.16514100785945446,1.0,0.8632091135191547,0.8632091135191547,False,False,True,True,True,False
