round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.48406984895845573,31.01388710313378
2,2,1,1,C,1,0.5068678710946036,28.013887103133772
3,2,1,1,C,2,0.43633864763425523,0.0
4,2,1,1,C,3,0.5132915750000064,0.0
5,2,1,1,C,4,0.5132915750000064,0.0
6,2,1,1,C,5,0.5118404844504655,0.0
7,3,2,2,A,1,0.2528455317599001,1085.5415565923659
8,3,2,2,A,2,0.36711331973962913,273.73410656416127
9,3,2,2,A,3,0.4559133399721159,323.73822394660647
10,3,2,2,A,4,0.1251594590328574,113.84654443293607
11,3,2,2,A,5,0.40395460570405284,159.81587828676447
12,4,3,3,B,1,0.0,27.999999999999996
13,4,3,3,B,2,0.0,0.0
14,4,3,3,B,3,0.0,0.0
15,4,3,3,B,4,0.0,0.0
16,4,3,3,B,5,0.0,0.0
17,5,4,4,D,1,0.03537258380411116,1456.3793588198791
18,5,4,4,D,2,0.04739567220813638,259.4164873366176
19,5,4,4,D,3,0.5113691409349207,1519.329009434932
20,5,4,4,D,4,0.10534388751234808,877.9304323738843
21,5,4,4,D,5,0.08969501993091401,21.412871609105423
