market_id,market_number,round_number,price_error
1,0,1,0.013885317746004877
2,1,1,0.03466651335340387
2,1,2,0.03466651335340387
2,1,3,0.03466651335340387
2,1,4,0.03466651335340387
2,1,5,0.03466651335340387
3,2,1,0.0716809438923075
3,2,2,0.05883838763748539
3,2,3,0.16069062390857347
3,2,4,0.2190650295080464
3,2,5,0.030003460355382372
4,3,1,0.25
4,3,2,0.25
4,3,3,0.25
4,3,4,0.25
4,3,5,0.25
5,4,1,0.6095604351819968
5,4,2,0.6095604351819968
5,4,3,0.029178699175392953
5,4,4,0.5546505351008906
5,4,5,0.5419784386565808
