trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
1,1,1,no,2,-0.013885317746004877,0.013885317746004877
2,1,1,no,12,-0.08212987558051194,0.08212987558051194
3,1,1,yes,15,0.10295919127477754,0.10295919127477754
4,1,1,no,20,-0.13590866289823395,0.13590866289823395
5,1,1,yes,6,0.03965528885854669,0.03965528885854669
6,1,1,yes,1,0.006739169629111863,0.006739169629111863
7,1,1,yes,11,0.075626208514054,0.075626208514054
8,1,1,no,1,-0.006941319797744205,0.006941319797744205
9,1,1,no,1,-0.006935967626738038,0.006935967626738038
10,2,2,no,11,-0.07580005361580039,0.07580005361580039
11,2,2,yes,1,0.006798721047609868,0.006798721047609868
12,2,2,yes,1,0.006824831682392396,0.006824831682392396
13,2,2,yes,3,0.020606017668998278,0.020606017668998278
14,2,2,yes,1,0.006903969863395976,0.006903969863395976
15,2,2,yes,1,0.006917278298890717,0.006917278298890717
16,2,2,no,1,-0.006917278298890717,0.006917278298890717
17,3,7,yes,1,0.006943997948260727,0.006943997948260727
18,3,7,yes,11,0.075626208514054,0.075626208514054
19,3,7,yes,1,0.0067391696291118075,0.0067391696291118075
20,3,7,no,1,-0.0067391696291118075,0.0067391696291118075
21,3,7,yes,20,0.1260906185671209,0.1260906185671209
22,3,7,yes,1,0.005701604461620269,0.005701604461620269
23,3,7,no,9,-0.05360606072523866,0.05360606072523866
24,3,7,no,1,-0.006254119513938505,0.006254119513938505
25,3,7,no,14,-0.09232574836608065,0.09232574836608065
26,3,7,no,1,-0.0068484456234291224,0.0068484456234291224
27,3,7,yes,15,0.09917419398950977,0.09917419398950977
28,3,7,yes,18,0.10297333001094955,0.10297333001094955
29,3,7,no,1,-0.0051393804018998734,0.0051393804018998734
30,3,7,no,3,-0.015851353919253408,0.015851353919253408
31,3,7,no,1,-0.0054262663116700915,0.0054262663116700915
32,3,7,no,2,-0.011062038985387268,0.011062038985387268
33,3,7,yes,1,0.005565672514303843,0.005565672514303843
34,3,7,no,20,-0.12287687418042981,0.12287687418042981
35,3,7,no,3,-0.020115131516176943,0.020115131516176943
36,3,7,yes,20,0.1260906185671209,0.1260906185671209
37,3,7,yes,2,0.011335714615182013,0.011335714615182013
38,3,7,yes,16,0.0804182617016499,0.0804182617016499
39,3,7,no,3,-0.013646312183794751,0.013646312183794751
40,3,7,no,1,-0.004697221546987929,0.004697221546987929
41,3,7,no,3,-0.014536260571609061,0.014536260571609061
42,3,7,no,13,-0.07047572307846839,0.07047572307846839
43,3,7,no,1,-0.0058976716028927845,0.0058976716028927845
44,3,7,no,8,-0.04932756727378351,0.04932756727378351
45,3,7,no,9,-0.059263838626416376,0.059263838626416376
46,3,7,no,1,-0.006770152846514388,0.006770152846514388
47,3,7,yes,17,0.10940092304951532,0.10940092304951532
48,3,7,yes,2,0.011858307300091742,0.011858307300091742
49,3,7,no,7,-0.042557034713528674,0.042557034713528674
50,3,7,no,1,-0.006308029388134018,0.006308029388134018
51,3,7,yes,5,0.030984479311648272,0.030984479311648272
52,3,7,no,1,-0.006082521453160905,0.006082521453160905
53,3,7,yes,15,0.0843794015405962,0.0843794015405962
54,3,7,no,13,-0.07227460259751262,0.07227460259751262
55,3,7,no,5,-0.030698727413436933,0.030698727413436933
56,3,7,no,3,-0.019078689993518028,0.019078689993518028
57,3,7,no,1,-0.0064588943083874195,0.0064588943083874195
58,3,7,no,11,-0.07363660968760433,0.07363660968760433
59,3,7,yes,10,0.06713127593948565,0.06713127593948565
60,3,7,no,8,-0.05345799863366407,0.05345799863366407
61,3,7,yes,7,0.046908258975322914,0.046908258975322914
62,3,7,yes,2,0.013055073406459838,0.013055073406459838
63,3,7,yes,1,0.0064588943083874195,0.0064588943083874195
64,3,7,yes,19,0.1117007080123088,0.1117007080123088
65,3,7,yes,7,0.03494700034481535,0.03494700034481535
66,3,7,no,13,-0.06770883812442896,0.06770883812442896
67,3,7,no,10,-0.05986018023917716,0.05986018023917716
68,3,7,no,4,-0.025537584301905447,0.025537584301905447
69,3,7,no,3,-0.0196471231064127,0.0196471231064127
70,3,7,yes,8,0.05143882692225665,0.05143882692225665
71,3,7,no,1,-0.006254119513938505,0.006254119513938505
72,3,7,yes,13,0.07655632937812618,0.07655632937812618
73,3,7,yes,6,0.0314833930260926,0.0314833930260926
74,3,7,no,5,-0.026057126714422507,0.026057126714422507
75,3,7,no,1,-0.0054262663116700915,0.0054262663116700915
76,3,7,no,1,-0.005496366471083425,0.005496366471083425
77,3,7,yes,13,0.06582926051503357,0.06582926051503357
78,3,7,no,16,-0.08273064764451943,0.08273064764451943
79,3,7,no,8,-0.04790445626361839,0.04790445626361839
80,3,7,no,1,-0.006254119513938505,0.006254119513938505
81,3,7,no,12,-0.07870219563607839,0.07870219563607839
82,3,7,yes,1,0.006770152846514388,0.006770152846514388
83,3,7,yes,3,0.020115131516176943,0.020115131516176943
84,3,7,yes,1,0.006632203865068909,0.006632203865068909
85,3,7,no,2,-0.013302348517043816,0.013302348517043816
86,3,7,yes,20,0.12398134631810087,0.12398134631810087
87,3,7,yes,5,0.027127727626051867,0.027127727626051867
88,3,7,no,16,-0.09262201801879077,0.09262201801879077
89,3,7,no,5,-0.03204291805002413,0.03204291805002413
90,3,7,yes,1,0.00650533374811868,0.00650533374811868
91,3,7,no,20,-0.13590866289823395,0.13590866289823395
92,3,7,no,5,-0.034626485268539176,0.034626485268539176
93,3,7,yes,1,0.006903969863395976,0.006903969863395976
94,3,7,yes,1,0.006917278298890717,0.006917278298890717
95,3,7,yes,4,0.027749235054513155,0.027749235054513155
96,3,7,yes,11,0.07580005361580033,0.07580005361580033
97,3,7,yes,1,0.006770152846514388,0.006770152846514388
98,3,7,no,11,-0.075626208514054,0.075626208514054
99,3,7,yes,1,0.00694131979774415,0.00694131979774415
100,3,7,yes,13,0.08880002023248679,0.08880002023248679
101,3,7,yes,1,0.006632203865068909,0.006632203865068909
102,3,7,yes,1,0.006592049699952862,0.006592049699952862
103,3,7,yes,1,0.006549739658341158,0.006549739658341158
104,3,7,no,20,-0.13634464894785947,0.13634464894785947
105,3,7,no,9,-0.06191473586979551,0.06191473586979551
106,3,7,yes,20,0.13797655450159846,0.13797655450159846
107,3,7,yes,8,0.053733090657715366,0.053733090657715366
108,3,7,yes,15,0.09275123348592218,0.09275123348592218
109,3,7,yes,1,0.005701604461620269,0.005701604461620269
110,3,7,no,1,-0.005701604461620269,0.005701604461620269
111,3,7,no,10,-0.06046660516569091,0.06046660516569091
112,3,7,yes,1,0.006308029388134018,0.006308029388134018
113,3,7,no,1,-0.006308029388134018,0.006308029388134018
114,3,7,yes,17,0.09893004740692479,0.09893004740692479
115,3,7,yes,17,0.07859041155074509,0.07859041155074509
116,3,7,no,1,-0.00403373492910708,0.00403373492910708
117,3,7,no,1,-0.0041064676986638515,0.0041064676986638515
118,3,7,no,3,-0.012759153207483886,0.012759153207483886
119,3,7,no,1,-0.004400521639892241,0.004400521639892241
120,3,7,yes,15,0.05840906321187256,0.05840906321187256
121,3,7,no,1,-0.003401615024017257,0.003401615024017257
122,3,7,no,3,-0.010614495771219867,0.010614495771219867
123,3,7,no,1,-0.0036768586438180595,0.0036768586438180595
