session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P14,1215.4956,1,5,2026-06-01 14:23:08,
1,P24,1117.2532,2,3,2026-06-01 14:23:08,
1,P20,837.2177,3,2,2026-06-01 14:23:08,
1,P18,834.3711,4,0,2026-06-01 14:23:08,
1,P17,782.7691,5,0,2026-06-01 14:23:08,
1,P09,763.1596,6,0,2026-06-01 14:23:08,
1,P15,741.5013,7,0,2026-06-01 14:23:08,
1,P16,693.5846,8,0,2026-06-01 14:23:08,
1,P13,672.4059,9,0,2026-06-01 14:23:08,
1,P19,643.3856,10,0,2026-06-01 14:23:08,
1,P02,633.2189,11,0,2026-06-01 14:23:08,
1,P03,629.6406,12,0,2026-06-01 14:23:08,
1,P22,558.5397,13,0,2026-06-01 14:23:08,
1,P23,496.0329,14,0,2026-06-01 14:23:08,
1,P11,490.1803,15,0,2026-06-01 14:23:08,
1,P12,465.3294,16,0,2026-06-01 14:23:08,
1,P01,412.9782,17,0,2026-06-01 14:23:08,
1,P06,393.6185,18,0,2026-06-01 14:23:08,
1,P07,389.7352,19,0,2026-06-01 14:23:08,
1,P08,363.441,20,0,2026-06-01 14:23:08,
1,P04,362.4822,21,0,2026-06-01 14:23:08,
1,P21,318.2288,22,0,2026-06-01 14:23:08,
1,P10,291.8445,23,0,2026-06-01 14:23:08,
1,P05,200.4737,24,0,2026-06-01 14:23:08,
