metric,p10,p25,p50,p75,p90,mean
session_id,1.0,1.0,1.0,1.0,1.0,1.0
trades_per_agent_round,13.658125,13.738541666666666,13.903125,14.246875,14.417916666666667,14.008750000000001
quantity_per_agent_round,58.87916666666666,58.943749999999994,59.57083333333333,60.572916666666664,61.419999999999995,59.85041666666666
median_order_size,1.9,2.0,2.0,2.0,2.0,1.9
q25_order_size,1.0,1.0,1.0,1.0,1.0,1.0
q75_order_size,6.0,6.25,7.0,7.0,7.0,6.7
sell_share,0.2702504278894749,0.2730632370796571,0.27538550213767804,0.27749858293284724,0.27839472495537465,0.2750118166175552
negative_cost_share,0.2702504278894749,0.2730632370796571,0.27538550213767804,0.27749858293284724,0.27839472495537465,0.2750118166175552
non_empty_markets_per_session_min,4.0,4.0,4.0,4.0,4.0,4.0
non_practice_trade_count,6555.9,6594.5,6673.5,6838.5,6920.6,6724.2
price_mse_vs_truth,0.0802719822693309,0.08259559313841545,0.08453515938293057,0.08671778846238455,0.08708816237557925,0.0839161095144037
price_mse_vs_benchmark,0.10601655887945126,0.10697432443938334,0.11042625767224984,0.11194025197613569,0.11637823599205571,0.11018339176015199
convergence_lag_mean,1.0,1.0,1.0,2.0,2.0,1.4
price_path_variance,0.046293665384075824,0.05224931282955026,0.05536982494303759,0.05927616423924237,0.06122829667402272,0.05568558785075127
trading_volume_total,28328.6,28379.25,28655.5,29139.25,29573.4,28801.7
informed_return_ratio_mean,-0.3119490296875,-0.26629835156250004,-0.1935498203125,-0.1670351484375,-0.10210925,-0.2033011375
uninformed_return_ratio_mean,0.064348548125,0.078957621875,0.0955637453125,0.10322358828125,0.10710065031249999,0.0897993484375
treatment_effect_return_ratio,-0.41788945625,-0.36679460390625007,-0.289911671875,-0.2459927703125,-0.166457798125,-0.29310048593750004
info_revelation_corr_mean,0.7672746941487251,0.781755180195751,0.8054980509067098,0.8347911327232951,0.8702431470934973,0.8062099870802767
