trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
1,1,1,no,3,-0.020821285372742915,0.020821285372742915
2,1,1,no,12,-0.0818640526057488,0.0818640526057488
3,1,1,yes,1,0.0066701446519749075,0.0066701446519749075
4,1,1,yes,1,0.006705817235090283,0.006705817235090283
5,1,1,yes,11,0.07542405834542165,0.07542405834542165
6,1,1,no,12,-0.08212987558051194,0.08212987558051194
7,1,1,yes,16,0.10990051107252169,0.10990051107252169
8,1,1,no,2,-0.013885317746004877,0.013885317746004877
9,1,1,no,1,-0.006943997948260672,0.006943997948260672
10,1,1,no,1,-0.006941319797744205,0.006941319797744205
11,1,1,no,1,-0.006935967626738038,0.006935967626738038
12,2,2,no,2,-0.013885317746004877,0.013885317746004877
13,2,2,no,11,-0.07542405834542165,0.07542405834542165
14,2,2,yes,12,0.08236537814316586,0.08236537814316586
15,2,2,no,1,-0.006941319797744205,0.006941319797744205
16,2,2,no,1,-0.006935967626738038,0.006935967626738038
17,3,7,yes,1,0.006943997948260727,0.006943997948260727
18,3,7,yes,1,0.00694131979774415,0.00694131979774415
19,3,7,yes,19,0.12794872734272622,0.12794872734272622
20,3,7,no,2,-0.012869380138757824,0.012869380138757824
21,3,7,no,1,-0.00650533374811868,0.00650533374811868
22,3,7,no,14,-0.09471009614734138,0.09471009614734138
23,3,7,yes,13,0.08816035648900022,0.08816035648900022
24,3,7,yes,15,0.09275123348592218,0.09275123348592218
25,3,7,no,1,-0.0057680800157665635,0.0057680800157665635
26,3,7,no,1,-0.005833461048261657,0.005833461048261657
27,3,7,no,2,-0.011858307300091742,0.011858307300091742
28,3,7,no,3,-0.018246091491757044,0.018246091491757044
29,3,7,yes,1,0.00614129254867346,0.00614129254867346
30,3,7,no,19,-0.12463764974895508,0.12463764974895508
31,3,7,yes,19,0.12463764974895508,0.12463764974895508
32,3,7,yes,19,0.104203683452459,0.104203683452459
33,3,7,no,3,-0.014757889518593581,0.014757889518593581
34,3,7,no,1,-0.005066392393269226,0.005066392393269226
35,3,7,no,12,-0.06631396690031366,0.06631396690031366
36,3,7,no,1,-0.005960635697198957,0.005960635697198957
37,3,7,no,2,-0.012104798943083583,0.012104798943083583
38,3,7,no,8,-0.050636846520377476,0.050636846520377476
39,3,7,no,9,-0.060282830316056524,0.060282830316056524
40,3,7,yes,14,0.09232574836608065,0.09232574836608065
41,3,7,yes,2,0.012452635921679889,0.012452635921679889
42,3,7,no,6,-0.037990220223585336,0.037990220223585336
43,3,7,no,1,-0.00650533374811868,0.00650533374811868
44,3,7,yes,4,0.02573488866189011,0.02573488866189011
45,3,7,no,1,-0.006360174775013605,0.006360174775013605
46,3,7,yes,13,0.07816249455588653,0.07816249455588653
47,3,7,no,11,-0.06549429039273891,0.06549429039273891
48,3,7,no,3,-0.019078689993518028,0.019078689993518028
49,3,7,no,1,-0.0064588943083874195,0.0064588943083874195
50,3,7,no,11,-0.07363660968760433,0.07363660968760433
51,3,7,yes,10,0.06713127593948565,0.06713127593948565
52,3,7,no,1,-0.006549739658341158,0.006549739658341158
53,3,7,no,8,-0.053733090657715366,0.053733090657715366
54,3,7,yes,7,0.0471410409577625,0.0471410409577625
55,3,7,yes,2,0.01314178935829402,0.01314178935829402
56,3,7,yes,1,0.00650533374811868,0.00650533374811868
57,3,7,no,12,-0.08050613697669629,0.08050613697669629
58,3,7,yes,17,0.11229784079254024,0.11229784079254024
59,3,7,yes,8,0.04790445626361839,0.04790445626361839
60,3,7,no,9,-0.054158575777556894,0.054158575777556894
61,3,7,no,4,-0.025537584301905447,0.025537584301905447
62,3,7,no,3,-0.0196471231064127,0.0196471231064127
63,3,7,yes,9,0.057637343329998036,0.057637343329998036
64,3,7,no,1,-0.0061985164077413835,0.0061985164077413835
65,3,7,yes,10,0.0592401708788004,0.0592401708788004
66,3,7,yes,6,0.03233965921631077,0.03233965921631077
67,3,7,no,4,-0.0212776202309235,0.0212776202309235
68,3,7,no,1,-0.005496366471083425,0.005496366471083425
69,3,7,no,1,-0.005565672514303843,0.005565672514303843
70,3,7,no,1,-0.005634110153561744,0.005634110153561744
71,3,7,yes,11,0.05809195331612804,0.05809195331612804
72,3,7,no,16,-0.08725340614186827,0.08725340614186827
73,3,7,no,7,-0.043366931576584555,0.043366931576584555
74,3,7,no,11,-0.07283271252054058,0.07283271252054058
75,3,7,no,6,-0.04125209751367731,0.04125209751367731
76,3,7,yes,1,0.006917278298890772,0.006917278298890772
77,3,7,yes,3,0.020661541908964964,0.020661541908964964
78,3,7,yes,1,0.0068484456234291224,0.0068484456234291224
79,3,7,yes,1,0.0068248316823924515,0.0068248316823924515
80,3,7,no,1,-0.0068248316823924515,0.0068248316823924515
81,3,7,no,8,0.053733090657715366,0.053733090657715366
82,3,7,yes,1,0.006549739658341158,0.006549739658341158
83,3,7,yes,19,0.1140255137398204,0.1140255137398204
84,3,7,no,17,-0.1010612856833143,0.1010612856833143
85,3,7,no,5,-0.03273822127986903,0.03273822127986903
86,3,7,yes,1,0.006632203865068909,0.006632203865068909
87,3,7,no,20,-0.13706677689807373,0.13706677689807373
88,3,7,yes,1,0.00692794968177024,0.00692794968177024
89,3,7,yes,1,0.006935967626738038,0.006935967626738038
90,3,7,yes,4,0.027770635492009754,0.027770635492009754
91,3,7,yes,8,0.055116014822185644,0.055116014822185644
92,3,7,yes,1,0.0067987210476098126,0.0067987210476098126
93,3,7,no,9,-0.061914735869795456,0.061914735869795456
94,3,7,yes,2,0.013863917308508333,0.013863917308508333
95,3,7,yes,1,0.006917278298890772,0.006917278298890772
96,3,7,no,1,0.00690396986339592,0.00690396986339592
97,3,7,yes,1,0.006888044756477085,0.006888044756477085
98,3,7,yes,1,0.006869527289091959,0.006869527289091959
99,3,7,yes,17,0.11162682991118966,0.11162682991118966
100,3,7,no,20,-0.13228837182015463,0.13228837182015463
101,3,7,no,5,-0.03466651335340398,0.03466651335340398
102,3,7,yes,7,0.04845852797327699,0.04845852797327699
103,3,7,yes,15,0.09973569189046771,0.09973569189046771
104,3,7,yes,1,0.006308029388134018,0.006308029388134018
105,3,7,no,9,-0.058487055925361964,0.058487055925361964
106,3,7,yes,1,0.0066701446519749075,0.0066701446519749075
107,3,7,yes,19,0.11731120166612596,0.11731120166612596
108,3,7,no,1,-0.005634110153561744,0.005634110153561744
109,3,7,no,1,-0.005701604461620269,0.005701604461620269
110,3,7,no,2,-0.01160154106402822,0.01160154106402822
111,3,7,no,1,-0.0058976716028927845,0.0058976716028927845
112,3,7,yes,17,0.09090965525297023,0.09090965525297023
113,3,7,no,3,-0.014536260571609061,0.014536260571609061
114,3,7,no,14,-0.07637339468136117,0.07637339468136117
115,3,7,yes,9,0.05067867812632221,0.05067867812632221
116,3,7,no,2,-0.010781711858831922,0.010781711858831922
117,3,7,no,1,-0.005496366471083425,0.005496366471083425
118,3,7,no,3,-0.016901387129485856,0.016901387129485856
119,3,7,no,14,-0.08620149382758102,0.08620149382758102
120,3,7,yes,1,0.00650533374811868,0.00650533374811868
121,3,7,yes,2,0.012869380138757824,0.012869380138757824
122,3,7,yes,9,0.0552252388766763,0.0552252388766763
123,3,7,no,5,-0.030104398791848785,0.030104398791848785
124,3,7,no,1,-0.0061985164077413835,0.0061985164077413835
125,3,7,no,10,-0.06474117543930047,0.06474117543930047
126,3,7,yes,1,0.0066701446519749075,0.0066701446519749075
127,3,7,yes,20,0.12287687418042981,0.12287687418042981
128,3,7,yes,4,0.021562055111748024,0.021562055111748024
129,3,7,yes,6,0.03017559390402158,0.03017559390402158
130,3,7,no,2,-0.009764854130815293,0.009764854130815293
131,3,7,yes,4,0.01923348211859699,0.01923348211859699
132,3,7,no,1,-0.004697221546987929,0.004697221546987929
133,3,7,no,1,0.004697221546987929,0.004697221546987929
134,3,7,no,9,-0.044928198673635955,0.044928198673635955
135,3,7,yes,1,0.005283976781832678,0.005283976781832678
136,3,7,no,6,-0.03276183777961361,0.03276183777961361
137,3,7,no,1,-0.005701604461620269,0.005701604461620269
138,3,7,no,1,0.005701604461620269,0.005701604461620269
139,3,7,no,1,-0.005701604461620269,0.005701604461620269
140,3,7,no,1,-0.0057680800157665635,0.0057680800157665635
141,3,7,no,1,-0.005833461048261657,0.005833461048261657
142,3,7,yes,1,0.005833461048261657,0.005833461048261657
143,3,7,no,15,-0.09357520317010848,0.09357520317010848
144,3,7,yes,1,0.006592049699952862,0.006592049699952862
145,3,7,yes,7,0.04484677722230379,0.04484677722230379
146,3,7,yes,1,0.0061985164077413835,0.0061985164077413835
147,3,7,no,6,-0.037990220223585336,0.037990220223585336
148,3,7,no,3,0.01922955491377143,0.01922955491377143
149,3,7,yes,12,0.07180231978087293,0.07180231978087293
150,3,7,yes,13,0.06677194951785514,0.06677194951785514
151,3,7,no,14,-0.07240605967141689,0.07240605967141689
152,3,7,no,2,-0.011469684477386832,0.011469684477386832
153,3,7,no,6,-0.03593785984011044,0.03593785984011044
