session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P22,1123.6413,1,5,2026-06-01 14:25:05,
1,P15,935.026,2,3,2026-06-01 14:25:05,
1,P03,933.9587,3,2,2026-06-01 14:25:05,
1,P13,755.4615,4,0,2026-06-01 14:25:05,
1,P17,741.2215,5,0,2026-06-01 14:25:05,
1,P09,739.7622,6,0,2026-06-01 14:25:05,
1,P05,725.5086,7,0,2026-06-01 14:25:05,
1,P16,699.6674,8,0,2026-06-01 14:25:05,
1,P20,672.0002,9,0,2026-06-01 14:25:05,
1,P02,665.2021,10,0,2026-06-01 14:25:05,
1,P24,637.0902,11,0,2026-06-01 14:25:05,
1,P18,625.466,12,0,2026-06-01 14:25:05,
1,P14,596.4236,13,0,2026-06-01 14:25:05,
1,P10,517.6262,14,0,2026-06-01 14:25:05,
1,P08,460.0041,15,0,2026-06-01 14:25:05,
1,P01,445.8146,16,0,2026-06-01 14:25:05,
1,P11,432.6195,17,0,2026-06-01 14:25:05,
1,P04,429.7742,18,0,2026-06-01 14:25:05,
1,P07,428.1071,19,0,2026-06-01 14:25:05,
1,P23,411.1599,20,0,2026-06-01 14:25:05,
1,P12,402.2132,21,0,2026-06-01 14:25:05,
1,P06,382.6351,22,0,2026-06-01 14:25:05,
1,P21,343.7649,23,0,2026-06-01 14:25:05,
1,P19,327.8082,24,0,2026-06-01 14:25:05,
