round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.4771338813317177,30.531240961938646
2,2,1,1,C,1,0.5138038387213417,13.531240961938646
3,2,1,1,C,2,0.44327461526099327,0.0
4,2,1,1,C,3,0.5202275426267444,0.0
5,2,1,1,C,4,0.5202275426267444,0.0
6,2,1,1,C,5,0.5187764520772036,0.0
7,3,2,2,A,1,0.24249421976774133,1257.0462048055897
8,3,2,2,A,2,0.28459768105280514,293.61004783203293
9,3,2,2,A,3,0.37378346439160404,190.0200571852115
10,3,2,2,A,4,0.05702376087895333,-58.515861439798755
11,3,2,2,A,5,0.3029105150651622,223.87810649043786
12,4,3,3,B,1,0.013885317746004877,17.01388710313378
13,4,3,3,B,2,0.013885317746004877,0.0
14,4,3,3,B,3,0.013885317746004877,0.0
15,4,3,3,B,4,0.013885317746004877,0.0
16,4,3,3,B,5,0.013885317746004877,0.0
17,5,4,4,D,1,0.03635801100145823,1486.416190880602
18,5,4,4,D,2,0.040409363848572834,200.11658987757073
19,5,4,4,D,3,0.6489773568935138,1501.4412769618057
20,5,4,4,D,4,0.1106971170029378,873.2972927960222
21,5,4,4,D,5,0.06400029278599284,50.19367892139417
