metric,p10,p25,p50,p75,p90,mean
session_id,1.0,1.0,1.0,1.0,1.0,1.0
trades_per_agent_round,13.86875,13.86875,13.86875,13.86875,13.86875,13.86875
quantity_per_agent_round,59.93125,59.93125,59.93125,59.93125,59.93125,59.93125
median_order_size,2.0,2.0,2.0,2.0,2.0,2.0
q25_order_size,1.0,1.0,1.0,1.0,1.0,1.0
q75_order_size,7.0,7.0,7.0,7.0,7.0,7.0
sell_share,0.2678383656301637,0.2678383656301637,0.2678383656301637,0.2678383656301637,0.2678383656301637,0.2678383656301637
negative_cost_share,0.2678383656301637,0.2678383656301637,0.2678383656301637,0.2678383656301637,0.2678383656301637,0.2678383656301637
non_empty_markets_per_session_min,4.0,4.0,4.0,4.0,4.0,4.0
non_practice_trade_count,6657.0,6657.0,6657.0,6657.0,6657.0,6657.0
price_mse_vs_truth,0.08239142558795712,0.08239142558795712,0.08239142558795712,0.08239142558795712,0.08239142558795712,0.08239142558795712
price_mse_vs_benchmark,0.11021457593332833,0.11021457593332833,0.11021457593332833,0.11021457593332833,0.11021457593332833,0.11021457593332833
convergence_lag_mean,1.0,1.0,1.0,1.0,1.0,1.0
price_path_variance,0.05652022288140403,0.05652022288140403,0.05652022288140403,0.05652022288140403,0.05652022288140403,0.05652022288140403
trading_volume_total,28828.0,28828.0,28828.0,28828.0,28828.0,28828.0
informed_return_ratio_mean,-0.15268103125,-0.15268103125,-0.15268103125,-0.15268103125,-0.15268103125,-0.15268103125
uninformed_return_ratio_mean,0.041716306249999995,0.041716306249999995,0.041716306249999995,0.041716306249999995,0.041716306249999995,0.041716306249999995
treatment_effect_return_ratio,-0.1943973375,-0.1943973375,-0.1943973375,-0.1943973375,-0.1943973375,-0.1943973375
info_revelation_corr_mean,0.8086112313799612,0.8086112313799612,0.8086112313799612,0.8086112313799612,0.8086112313799612,0.8086112313799612
