market_id,participant_id,role_tier,endowment_tokens,starting_balance,final_balance,yes_held,no_held,market_number,stage
1,P01,uninformed,100,99.551894942041,,1,0,0,1
1,P02,uninformed,100,98.6143445314385,,3,0,0,1
1,P03,uninformed,100,99.17860763417367,,2,0,0,1
1,P04,uninformed,100,99.14479098915538,,2,0,0,1
1,P05,uninformed,100,99.13115414090703,,2,0,0,1
1,P06,uninformed,100,100.0,,0,0,0,1
1,P07,uninformed,100,100.0,,0,0,0,1
1,P08,uninformed,100,92.32369017716564,,0,14,0,1
1,P09,uninformed,100,100.0,,0,0,0,1
2,P01,uninformed,100,98.11096848829513,102.111,4,0,1,1
2,P02,uninformed,100,100.0,100.0,0,0,1,1
2,P03,uninformed,100,98.24864304410455,102.2486,4,0,1,1
2,P04,uninformed,100,99.5791876120238,100.5792,1,0,1,1
2,P05,uninformed,100,99.5450159411034,100.545,1,0,1,1
2,P06,uninformed,100,100.0,100.0,0,0,1,1
2,P07,uninformed,100,100.0,100.0,0,0,1,1
2,P08,uninformed,100,94.00576992193463,94.0058,0,11,1,1
2,P09,uninformed,100,99.49652788940469,99.4965,0,1,1,1
3,P01,uninformed,100,52.33414322426616,132.3341,42,80,2,2
3,P02,uninformed,100,14.837439879014507,96.8374,106,82,2,2
3,P03,uninformed,100,46.81440996520505,161.8144,71,115,2,2
3,P04,uninformed,100,16.66832556686836,137.6683,87,121,2,2
3,P05,informed,100,0.4655939842119827,0.4656,82,0,2,2
3,P06,uninformed,100,66.42146612685174,110.4215,35,44,2,2
3,P07,informed,100,14.730949982541588,114.7309,121,100,2,2
3,P08,uninformed,100,72.13391485045193,83.1339,37,11,2,2
3,P09,informed,100,3.7789067931921387,18.7789,50,15,2,2
4,P01,uninformed,100,96.27704850488504,96.277,8,0,3,3
4,P02,uninformed,100,100.0,100.0,0,0,3,3
4,P03,uninformed,400,400.0,400.0,0,0,3,3
4,P04,uninformed,100,99.56559098915538,99.5656,1,0,3,3
4,P05,uninformed,100,95.68340297200116,95.6834,9,0,3,3
4,P06,uninformed,400,400.0,400.0,0,0,3,3
4,P07,uninformed,400,400.0,400.0,0,0,3,3
4,P08,uninformed,100,96.38551499253848,103.3855,0,7,3,3
4,P09,uninformed,100,93.58495753395843,105.585,0,12,3,3
5,P01,uninformed,100,78.83522253402846,180.8352,102,0,4,4
5,P02,informed,400,27.28907300302596,27.2891,0,420,4,4
5,P03,uninformed,100,82.45068080594685,198.45069999999998,116,0,4,4
5,P04,uninformed,100,82.68212748401021,158.6821,76,2,4,4
5,P05,informed,400,104.04968662830797,104.0497,0,345,4,4
5,P06,uninformed,100,94.55660385637373,108.5566,14,0,4,4
5,P07,uninformed,100,96.94794507377419,107.9479,11,0,4,4
5,P08,informed,400,392.71767680430844,699.7176999999999,307,0,4,4
5,P09,uninformed,100,97.05493683773238,121.0549,24,0,4,4
