id,round_id,participant_id,signal_value,theta,posterior,delivered,delivered_at,rng_seed,market_id
1,1,P01,H,0.65,0.65,0,2026-06-01 12:20:47,a2cdace693fdda06,1
2,1,P02,L,0.65,0.35,0,2026-06-01 12:20:47,e8b3a078453ddc6c,1
3,1,P03,H,0.65,0.65,0,2026-06-01 12:20:47,bfda46e4c30f498e,1
4,1,P04,H,0.65,0.65,0,2026-06-01 12:20:47,f0d57d7b2d5f7d31,1
5,1,P05,L,0.65,0.35,0,2026-06-01 12:20:47,0a0fbc41df694d3b,1
6,1,P06,H,0.65,0.65,0,2026-06-01 12:20:47,6d7610c3a64e2672,1
7,1,P07,L,0.65,0.35,0,2026-06-01 12:20:47,d7ed2e5e1123d2cf,1
8,1,P08,L,0.65,0.35,0,2026-06-01 12:20:47,3977debc993d01e7,1
9,1,P09,L,0.65,0.35,0,2026-06-01 12:20:47,1bb14057d0a6fa31,1
10,2,P01,L,0.65,0.35,0,2026-06-01 12:20:49,76ee015b1dbc95ed,2
11,2,P02,H,0.65,0.65,0,2026-06-01 12:20:49,6dbd9af286638479,2
12,2,P03,H,0.65,0.65,0,2026-06-01 12:20:49,7976598b8febf090,2
13,2,P04,H,0.65,0.65,0,2026-06-01 12:20:49,4c653e24b23fb169,2
14,2,P05,H,0.65,0.65,0,2026-06-01 12:20:49,1f93f500510a95a3,2
15,2,P06,L,0.65,0.35,0,2026-06-01 12:20:49,dcbbda42bda663da,2
16,2,P07,H,0.65,0.65,0,2026-06-01 12:20:49,ba5aebab89f44101,2
17,2,P08,H,0.65,0.65,0,2026-06-01 12:20:49,824fca8ec6bd7ced,2
18,2,P09,H,0.65,0.65,0,2026-06-01 12:20:49,515413780b584549,2
19,3,P01,H,0.65,0.65,0,2026-06-01 12:20:50,04d65c4870f5516e,2
20,3,P02,H,0.65,0.65,0,2026-06-01 12:20:50,570dde5d572b74ae,2
21,3,P03,H,0.65,0.65,0,2026-06-01 12:20:50,8d8b042d57b029fa,2
