round_id,market_id,market_number,stage,scenario_id,round_number,abs_deviation,turnover
1,1,0,1,C,1,0.14999999999999997,0.0
2,2,1,1,C,1,0.4566941509920125,0.0
3,2,1,1,C,2,0.4566941509920125,0.0
4,2,1,1,C,3,0.4870455196827034,0.0
5,2,1,1,C,4,0.3649606299212601,0.0
6,2,1,1,C,5,0.15000000000000002,0.0
7,3,2,2,A,1,0.6169937441573201,41.056736465162906
8,3,2,2,A,2,0.35911085369710494,71.62895692468496
9,3,2,2,A,3,0.14133917497056436,48.03646589464161
10,3,2,2,A,4,0.23199244129936814,37.68095055540229
11,3,2,2,A,5,0.21246314533998079,30.544810245590952
12,4,3,3,B,1,0.0,0.0
13,4,3,3,B,2,0.0,0.0
14,4,3,3,B,3,0.0,0.0
15,4,3,3,B,4,0.0,0.0
16,4,3,3,B,5,0.0,0.0
17,5,4,4,D,1,0.8693740133804685,323.9302157680349
18,5,4,4,D,2,0.34634019309172087,213.39730328134658
19,5,4,4,D,3,0.12590562248627235,219.7309411453267
20,5,4,4,D,4,0.09731843787271735,160.41714663335347
21,5,4,4,D,5,0.15340351783638073,71.16188772180453
