session_id,participant_id,answers,submitted_at
2,P03,"{""strategy"":"""",""experimental_economics"":""yes"",""prediction_market_literature"":""yes"",""prediction_market_use"":""no""}",2026-05-29 13:22:07.37708+00
2,P06,"{""strategy"":"""",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:21:26.258265+00
1,P04,"{""strategy"":""Tried to buy evenly YES and NO, waited until one was cheap to buy"",""experimental_economics"":""yes"",""prediction_market_literature"":""yes"",""prediction_market_use"":""yes""}",2026-05-29 13:21:29.362593+00
2,P04,"{""strategy"":""No strategy at all. "",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:23:24.573628+00
1,P03,"{""strategy"":""I was unable to trade."",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:21:57.701297+00
2,P08,"{""strategy"":""i just buyed low and tried to sell high"",""experimental_economics"":""yes"",""prediction_market_literature"":""yes"",""prediction_market_use"":""no""}",2026-05-29 13:24:07.530786+00
1,P05,"{""strategy"":""almost completely ignored news, instead only observed market"",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:35.511376+00
1,P06,"{""strategy"":""i made most of my trading based on prices alone. i was buying when it was cheap and selling when prices got high to try and get the most shares of each as possible so my outcome could be better either way. "",""experimental_economics"":""no"",""prediction_market_literature"":""yes"",""prediction_market_use"":""no""}",2026-05-29 13:22:58.510059+00
1,P08,"{""strategy"":""buy at the dip, sell at the top.\nThe experiment is really interesting, I would have given a bit more context on what is happening. Took me a while to understand what was going on"",""experimental_economics"":""yes"",""prediction_market_literature"":""yes"",""prediction_market_use"":""yes""}",2026-05-29 13:22:22.028794+00
1,P01,"{""strategy"":""I've used the portafolio risk based on trade-off E(X)-Var(x); each time weighted by news relised."",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:20:39.441911+00
2,P02,"{""strategy"":""Take advantage of high volatility, usually just buy Yes when the price (chance) is very low and hope that it goes back up (it always did). I didn't trust the info."",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:17.849853+00
2,P01,"{""strategy"":""I just bought whenever it was very low and each round i had a personal threshold above which i just would not buy and a aboev 90 i almost always sold my yes and no contrcts. i was more hesitant to sell my no contracts even though mostly conflict did occur im not too sure why. in the end i was reacting much more to the prediction market than the news itself"",""experimental_economics"":""yes"",""prediction_market_literature"":""yes"",""prediction_market_use"":""no""}",2026-05-29 13:21:25.623327+00
1,P09,"{""strategy"":""when i was informed, i relied on the private intel. but i think i misinterpreted them because my prediction was wrong. also i was not really selling and often ended up with both YES and NO contracts "",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:49.590013+00
1,P07,"{""strategy"":""When I had a signal  (78%) I bought a lot but I should hae bought more. \nWhen the uninformed information was about 50% I first thought not to buy. But then I was going with the flow. \nAt some point I wanted to try to buy cheap, when costs was low. I managed this sometimes. The I thought to sell when the receive was high but I did not manage. \n"",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:57.078767+00
2,P05,"{""strategy"":""I didn't get personal information in the first 3 markets. I just want to manipulate the market by disturbing the balance of the current market. I notice that in fact we have a lot of cash but it seems that very few of us make use of the majority of the money. I don't care about the final results - whether the conflict will happen or not. I get profits mainly from transctions."",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:21:36.234005+00
1,P02,"{""strategy"":""Based on the information given at the beginning of each market i decided to buy accordingdly. Like if the information was: it is likely that the conflit would happen i tried to buy as much YES as possible before the price goes up to high. Then, i also tried to buy a lot of the other contract when the price was really low so that i can play safely: i had a lot of the contract that is likely to be the outcome (in my example the YES contract) but also a lot of the other contract bought a cheap price such that if the outcome turns out to be the other i would be safe. "",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:58.97287+00
2,P09,"{""strategy"":""Relied on mostly the information at the beginning and then throughout the round for whether or not the event would happen. Depending on the tone of the new information you would be able to gather the gravity of the issue, but it was also just vibes. My goal was to make the most money while trading depending on how people were selling or buying but still keep some contracts in case the event happened. "",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:51.137262+00
2,P07,"{""strategy"":""Since it was my first prediction market experience, the decisions were close to random (not random but hard to differentiate from random). It took some time to understand the game in the beginning. My decisions were mainly affected by the initial news as prior and then change based on each information received in each step."",""experimental_economics"":""yes"",""prediction_market_literature"":""no"",""prediction_market_use"":""no""}",2026-05-29 13:22:19.204243+00
