market_id,participant_id,role_tier,endowment_tokens,starting_balance,final_balance,yes_held,no_held
1,P09,uninformed,100.0,100.0,,0.0,0.0
1,P03,uninformed,100.0,100.0,,0.0,0.0
2,P08,uninformed,100.0,100.0,,0.0,0.0
1,P04,uninformed,100.0,1.3246,,100.0,0.0
7,P08,uninformed,100.0,0.0271,163.0271,163.0,120.0
2,P05,uninformed,100.0,93.9199,,20.0,0.0
10,P01,uninformed,100.0,8.0424,113.0424,105.0,29.0
2,P03,uninformed,100.0,97.5536,,3.0,0.0
5,P01,uninformed,100.0,32.436,97.436,65.0,0.0
7,P09,uninformed,100.0,96.886,101.886,5.0,6.0
5,P02,uninformed,100.0,18.7146,118.7146,100.0,100.0
1,P01,uninformed,100.0,75.888,,27.0,0.0
2,P07,uninformed,100.0,81.9737,,20.0,0.0
1,P08,uninformed,100.0,0.8462,,118.0,6.0
5,P03,uninformed,100.0,100.0,100.0,0.0,0.0
2,P06,uninformed,100.0,98.3653,,2.0,0.0
5,P04,uninformed,100.0,0.0147,21.0147,21.0,5.0
5,P05,informed,100.0,122.1177,127.1177,5.0,0.0
2,P01,uninformed,100.0,101.5404,,2.0,0.0
10,P02,informed,400.0,42.7887,314.7887,272.0,163.0
2,P04,uninformed,100.0,99.034,,1.0,0.0
1,P02,uninformed,100.0,76.4675,,25.0,0.0
5,P06,uninformed,100.0,0.0576,82.0576,82.0,245.0
5,P07,informed,100.0,82.1233,102.1233,20.0,0.0
5,P08,uninformed,100.0,0.2675,132.2675,132.0,94.0
1,P06,uninformed,100.0,98.3496,,2.0,0.0
5,P09,informed,100.0,94.6409,104.6409,10.0,16.0
6,P01,informed,100.0,12.8399,51.8399,39.0,64.0
6,P02,uninformed,100.0,113.5547,113.5547,0.0,0.0
6,P03,informed,100.0,92.0605,105.0605,13.0,4.0
6,P04,uninformed,100.0,97.9202,102.9202,5.0,2.0
1,P07,uninformed,100.0,99.9709,,0.0,4.0
6,P05,uninformed,100.0,116.7838,116.7838,0.0,35.0
6,P06,informed,100.0,96.104,101.104,5.0,0.0
6,P07,uninformed,100.0,61.7424,61.7424,0.0,0.0
3,P01,uninformed,100.0,25.9786,26.9786,149.0,1.0
3,P02,uninformed,100.0,9.3892,74.3892,86.0,65.0
3,P03,uninformed,100.0,100.0,100.0,0.0,0.0
6,P08,uninformed,100.0,109.093,109.093,0.0,0.0
3,P04,uninformed,100.0,0.1285,129.1285,0.0,129.0
3,P05,uninformed,100.0,98.5975,104.5975,1.0,6.0
3,P06,uninformed,100.0,3.2686,81.2686,109.0,78.0
3,P07,uninformed,100.0,95.1938,95.1938,7.0,0.0
3,P08,uninformed,100.0,0.1649,142.1649,133.0,142.0
3,P09,uninformed,100.0,98.3382,108.3382,2.0,10.0
4,P01,uninformed,100.0,69.8504,69.8504,0.0,0.0
2,P02,uninformed,100.0,84.6636,,20.0,0.0
4,P02,uninformed,100.0,113.7134,113.7134,0.0,0.0
6,P09,uninformed,100.0,35.9607,155.9607,120.0,21.0
4,P03,uninformed,100.0,99.4275,100.4275,2.0,1.0
4,P04,uninformed,100.0,100.1969,111.1969,1.0,11.0
1,P05,uninformed,100.0,80.0921,,20.0,0.0
4,P05,uninformed,100.0,94.5698,95.5698,0.0,1.0
4,P06,uninformed,100.0,104.7085,104.7085,0.0,0.0
2,P09,uninformed,100.0,3.3493,,90.0,100.0
4,P07,uninformed,100.0,68.0329,68.0329,0.0,0.0
4,P08,uninformed,100.0,101.8569,101.8569,0.0,0.0
4,P09,uninformed,100.0,132.2721,143.2721,1.0,11.0
9,P01,uninformed,100.0,11.0016,11.0016,0.0,15.0
8,P01,uninformed,400.0,55.2077,60.2077,5.0,135.0
8,P02,uninformed,400.0,465.1873,465.1873,0.0,0.0
8,P03,uninformed,100.0,98.0621,108.0621,10.0,10.0
8,P04,uninformed,100.0,86.2513,86.2513,0.0,29.0
8,P05,uninformed,100.0,158.458,220.458,62.0,0.0
8,P06,uninformed,100.0,99.4504,112.4504,13.0,6.0
8,P07,uninformed,100.0,110.4941,110.4941,0.0,0.0
8,P08,uninformed,100.0,110.4381,110.4381,0.0,0.0
8,P09,uninformed,400.0,436.5909,476.5909,40.0,20.0
7,P01,uninformed,100.0,14.2527,132.2527,118.0,10.0
7,P02,uninformed,100.0,5.3348,111.3348,106.0,104.0
7,P03,uninformed,400.0,400.0,400.0,0.0,0.0
7,P04,uninformed,100.0,0.0207,0.0207,0.0,116.0
7,P05,uninformed,100.0,119.4924,170.4924,51.0,0.0
7,P06,uninformed,400.0,21.275,231.275,210.0,410.0
7,P07,uninformed,400.0,1.6644,1.6644,0.0,400.0
10,P03,uninformed,100.0,100.0,100.0,0.0,0.0
9,P02,uninformed,100.0,147.565,147.565,0.0,60.0
10,P04,uninformed,100.0,0.5888,107.5888,107.0,157.0
9,P03,informed,400.0,364.6854,418.6854,54.0,0.0
10,P05,informed,400.0,416.8039,416.8039,0.0,7.0
9,P04,informed,400.0,390.7999,417.7999,27.0,26.0
10,P06,uninformed,100.0,15.0704,75.0704,60.0,300.0
9,P05,informed,400.0,360.3363,360.3363,0.0,88.0
10,P07,uninformed,100.0,3.3888,8.3888,5.0,244.0
10,P08,informed,400.0,15.9208,571.9208,556.0,177.0
9,P06,uninformed,100.0,91.9428,96.9428,5.0,9.0
9,P07,uninformed,100.0,4.4821,144.4821,140.0,0.0
10,P09,uninformed,100.0,103.741,103.741,0.0,0.0
9,P08,uninformed,100.0,103.6517,103.6517,0.0,0.0
9,P09,uninformed,100.0,47.9344,117.9344,70.0,40.0
