id,session_id,market_number,scenario_id,true_probability,stage,b_parameter,q_yes,q_no,opened_at,closed_at,is_practice
9,2,4,D,0.65,4,36.0,296.0,238.0,2026-05-29 14:08:48.879581+00,2026-05-29 14:19:31.123115+00,false
10,1,4,D,0.65,4,36.0,1105.0,1077.0,2026-05-29 14:08:50.387378+00,2026-05-29 14:19:32.850648+00,false
1,1,0,C,0.5,1,36.0,292.0,10.0,2026-05-29 13:31:03.902544+00,2026-05-29 13:31:49.007214+00,true
2,2,0,C,0.5,1,36.0,158.0,100.0,2026-05-29 13:31:05.317779+00,2026-05-29 13:31:50.415214+00,true
8,2,3,B,0.25,3,36.0,130.0,200.0,2026-05-29 13:57:48.342233+00,2026-05-29 14:08:12.15873+00,false
7,1,3,B,0.25,3,36.0,653.0,1166.0,2026-05-29 13:57:46.790405+00,2026-05-29 14:08:13.550088+00,false
3,1,1,C,0.5,1,36.0,487.0,431.0,2026-05-29 13:33:06.80046+00,2026-05-29 13:44:07.246283+00,false
4,2,1,C,0.5,1,36.0,4.0,24.0,2026-05-29 13:33:08.504468+00,2026-05-29 13:44:08.82484+00,false
5,1,2,A,0.75,2,36.0,435.0,460.0,2026-05-29 13:46:39.884103+00,2026-05-29 13:57:17.649893+00,false
6,2,2,A,0.75,2,36.0,182.0,126.0,2026-05-29 13:46:45.22505+00,2026-05-29 13:57:21.499826+00,false
