session_id,participant_id,join_token,joined_at,flow_step
2,P03,,2026-05-29 13:20:17.796937+00,complete
2,P06,,2026-05-29 13:20:17.796937+00,complete
1,P04,,2026-05-29 13:20:16.063851+00,complete
2,P04,,2026-05-29 13:20:17.796937+00,complete
1,P03,,2026-05-29 13:20:16.063851+00,complete
2,P08,,2026-05-29 13:20:17.796937+00,complete
1,P05,,2026-05-29 13:20:16.063851+00,complete
1,P06,,2026-05-29 13:20:16.063851+00,complete
1,P08,,2026-05-29 13:20:16.063851+00,complete
1,P01,,2026-05-29 13:20:16.063851+00,complete
2,P02,,2026-05-29 13:20:17.796937+00,complete
2,P01,,2026-05-29 13:20:17.796937+00,complete
1,P09,,2026-05-29 13:20:16.063851+00,complete
1,P07,,2026-05-29 13:20:16.063851+00,complete
2,P05,,2026-05-29 13:20:17.796937+00,complete
1,P02,,2026-05-29 13:20:16.063851+00,complete
2,P09,,2026-05-29 13:20:17.796937+00,complete
2,P07,,2026-05-29 13:20:17.796937+00,complete
