session_label,market_number,stage,scenario_id,participant_id,role_tier,endowment_tokens,starting_balance,final_balance,pnl_tokens,pnl_ratio,yes_held,no_held
S2026-05-29-A,1,1,C,P09,uninformed,100,132.2721,143.2721,43.272099999999995,0.43272099999999997,1,11
S2026-05-29-A,1,1,C,P08,uninformed,100,0.1649,142.1649,42.16489999999999,0.4216489999999999,133,142
S2026-05-29-A,1,1,C,P04,uninformed,100,0.1285,129.1285,29.128500000000003,0.291285,0,129
S2026-05-29-A,1,1,C,P02,uninformed,100,113.7134,113.7134,13.713399999999993,0.13713399999999992,0,0
S2026-05-29-A,1,1,C,P04,uninformed,100,100.1969,111.1969,11.1969,0.111969,1,11
S2026-05-29-A,1,1,C,P09,uninformed,100,98.3382,108.3382,8.3382,0.08338200000000001,2,10
S2026-05-29-A,1,1,C,P06,uninformed,100,104.7085,104.7085,4.708500000000001,0.04708500000000001,0,0
S2026-05-29-A,1,1,C,P05,uninformed,100,98.5975,104.5975,4.597499999999997,0.04597499999999997,1,6
S2026-05-29-A,1,1,C,P08,uninformed,100,101.8569,101.8569,1.856899999999996,0.01856899999999996,0,0
S2026-05-29-A,1,1,C,P03,uninformed,100,99.4275,100.4275,0.4274999999999949,0.004274999999999949,2,1
S2026-05-29-A,1,1,C,P03,uninformed,100,100,100,0,0,0,0
S2026-05-29-A,1,1,C,P05,uninformed,100,94.5698,95.5698,-4.430199999999999,-0.044301999999999994,0,1
S2026-05-29-A,1,1,C,P07,uninformed,100,95.1938,95.1938,-4.806200000000004,-0.04806200000000004,7,0
S2026-05-29-A,1,1,C,P06,uninformed,100,3.2686,81.2686,-18.731399999999994,-0.18731399999999993,109,78
S2026-05-29-A,1,1,C,P02,uninformed,100,9.3892,74.3892,-25.610799999999998,-0.256108,86,65
S2026-05-29-A,1,1,C,P01,uninformed,100,69.8504,69.8504,-30.149600000000007,-0.30149600000000004,0,0
S2026-05-29-A,1,1,C,P07,uninformed,100,68.0329,68.0329,-31.967100000000002,-0.31967100000000004,0,0
S2026-05-29-A,1,1,C,P01,uninformed,100,25.9786,26.9786,-73.0214,-0.730214,149,1
S2026-05-29-A,2,2,A,P09,uninformed,100,35.9607,155.9607,55.9607,0.5596070000000001,120,21
S2026-05-29-A,2,2,A,P08,uninformed,100,0.2675,132.2675,32.26750000000001,0.3226750000000001,132,94
S2026-05-29-A,2,2,A,P05,informed,100,122.1177,127.1177,27.1177,0.271177,5,0
S2026-05-29-A,2,2,A,P02,uninformed,100,18.7146,118.7146,18.714600000000004,0.18714600000000003,100,100
S2026-05-29-A,2,2,A,P05,uninformed,100,116.7838,116.7838,16.7838,0.167838,0,35
S2026-05-29-A,2,2,A,P02,uninformed,100,113.5547,113.5547,13.554699999999997,0.13554699999999997,0,0
S2026-05-29-A,2,2,A,P08,uninformed,100,109.093,109.093,9.093000000000004,0.09093000000000004,0,0
S2026-05-29-A,2,2,A,P03,informed,100,92.0605,105.0605,5.060500000000005,0.050605000000000046,13,4
S2026-05-29-A,2,2,A,P09,informed,100,94.6409,104.6409,4.640900000000002,0.04640900000000002,10,16
S2026-05-29-A,2,2,A,P04,uninformed,100,97.9202,102.9202,2.920199999999994,0.02920199999999994,5,2
S2026-05-29-A,2,2,A,P07,informed,100,82.1233,102.1233,2.1233000000000004,0.021233000000000005,20,0
S2026-05-29-A,2,2,A,P06,informed,100,96.104,101.104,1.1039999999999992,0.011039999999999993,5,0
S2026-05-29-A,2,2,A,P03,uninformed,100,100,100,0,0,0,0
S2026-05-29-A,2,2,A,P01,uninformed,100,32.436,97.436,-2.563999999999993,-0.02563999999999993,65,0
S2026-05-29-A,2,2,A,P06,uninformed,100,0.0576,82.0576,-17.942400000000006,-0.17942400000000006,82,245
S2026-05-29-A,2,2,A,P07,uninformed,100,61.7424,61.7424,-38.2576,-0.38257599999999997,0,0
S2026-05-29-A,2,2,A,P01,informed,100,12.8399,51.8399,-48.1601,-0.481601,39,64
S2026-05-29-A,2,2,A,P04,uninformed,100,0.0147,21.0147,-78.9853,-0.7898529999999999,21,5
S2026-05-29-A,3,3,B,P05,uninformed,100,158.458,220.458,120.458,1.20458,62,0
S2026-05-29-A,3,3,B,P09,uninformed,400,436.5909,476.5909,76.59089999999998,0.19147724999999993,40,20
S2026-05-29-A,3,3,B,P05,uninformed,100,119.4924,170.4924,70.4924,0.704924,51,0
S2026-05-29-A,3,3,B,P02,uninformed,400,465.1873,465.1873,65.1873,0.16296824999999998,0,0
S2026-05-29-A,3,3,B,P08,uninformed,100,0.0271,163.0271,63.02709999999999,0.6302709999999999,163,120
S2026-05-29-A,3,3,B,P01,uninformed,100,14.2527,132.2527,32.252700000000004,0.32252700000000006,118,10
S2026-05-29-A,3,3,B,P06,uninformed,100,99.4504,112.4504,12.450400000000002,0.12450400000000002,13,6
S2026-05-29-A,3,3,B,P02,uninformed,100,5.3348,111.3348,11.334800000000001,0.11334800000000002,106,104
S2026-05-29-A,3,3,B,P07,uninformed,100,110.4941,110.4941,10.494100000000003,0.10494100000000003,0,0
S2026-05-29-A,3,3,B,P08,uninformed,100,110.4381,110.4381,10.438100000000006,0.10438100000000006,0,0
S2026-05-29-A,3,3,B,P03,uninformed,100,98.0621,108.0621,8.062100000000001,0.08062100000000001,10,10
S2026-05-29-A,3,3,B,P09,uninformed,100,96.886,101.886,1.8859999999999957,0.018859999999999957,5,6
S2026-05-29-A,3,3,B,P03,uninformed,400,400,400,0,0,0,0
S2026-05-29-A,3,3,B,P04,uninformed,100,86.2513,86.2513,-13.7487,-0.137487,0,29
S2026-05-29-A,3,3,B,P04,uninformed,100,0.0207,0.0207,-99.9793,-0.9997929999999999,0,116
S2026-05-29-A,3,3,B,P06,uninformed,400,21.275,231.275,-168.725,-0.4218125,210,410
S2026-05-29-A,3,3,B,P01,uninformed,400,55.2077,60.2077,-339.7923,-0.84948075,5,135
S2026-05-29-A,3,3,B,P07,uninformed,400,1.6644,1.6644,-398.3356,-0.995839,0,400
S2026-05-29-A,4,4,D,P08,informed,400,15.9208,571.9208,171.92079999999999,0.42980199999999996,556,177
S2026-05-29-A,4,4,D,P02,uninformed,100,147.565,147.565,47.565,0.47564999999999996,0,60
S2026-05-29-A,4,4,D,P07,uninformed,100,4.4821,144.4821,44.4821,0.444821,140,0
S2026-05-29-A,4,4,D,P03,informed,400,364.6854,418.6854,18.685400000000016,0.04671350000000004,54,0
S2026-05-29-A,4,4,D,P09,uninformed,100,47.9344,117.9344,17.934399999999997,0.17934399999999998,70,40
S2026-05-29-A,4,4,D,P04,informed,400,390.7999,417.7999,17.79989999999998,0.04449974999999995,27,26
S2026-05-29-A,4,4,D,P05,informed,400,416.8039,416.8039,16.8039,0.04200975,0,7
S2026-05-29-A,4,4,D,P01,uninformed,100,8.0424,113.0424,13.0424,0.130424,105,29
S2026-05-29-A,4,4,D,P04,uninformed,100,0.5888,107.5888,7.588800000000006,0.07588800000000007,107,157
S2026-05-29-A,4,4,D,P09,uninformed,100,103.741,103.741,3.7409999999999997,0.03741,0,0
S2026-05-29-A,4,4,D,P08,uninformed,100,103.6517,103.6517,3.6517000000000053,0.03651700000000005,0,0
S2026-05-29-A,4,4,D,P03,uninformed,100,100,100,0,0,0,0
S2026-05-29-A,4,4,D,P06,uninformed,100,91.9428,96.9428,-3.0571999999999946,-0.030571999999999946,5,9
S2026-05-29-A,4,4,D,P06,uninformed,100,15.0704,75.0704,-24.929599999999994,-0.24929599999999993,60,300
S2026-05-29-A,4,4,D,P05,informed,400,360.3363,360.3363,-39.663700000000006,-0.09915925000000002,0,88
S2026-05-29-A,4,4,D,P02,informed,400,42.7887,314.7887,-85.2113,-0.21302824999999997,272,163
S2026-05-29-A,4,4,D,P01,uninformed,100,11.0016,11.0016,-88.9984,-0.889984,0,15
S2026-05-29-A,4,4,D,P07,uninformed,100,3.3888,8.3888,-91.6112,-0.9161119999999999,5,244
