session_id,participant_id,quiz_name,attempts,final_correct,raw_answers
2,P01,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P06,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P04,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P04,comprehension,3,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P05,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P02,comprehension,1,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P06,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P09,comprehension,3,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q5"":""Only debrief"",""q4"":""Only admin""}"
2,P07,comprehension,5,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P03,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P05,comprehension,3,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P02,comprehension,1,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P09,comprehension,1,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P01,comprehension,3,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
2,P08,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P08,comprehension,3,true,"{""q1"":""No"",""q4"":""Only admin"",""q5"":""Only debrief"",""q3"":""4"",""q2"":""No""}"
1,P07,comprehension,5,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
1,P03,comprehension,2,true,"{""q1"":""No"",""q2"":""No"",""q3"":""4"",""q4"":""Only admin"",""q5"":""Only debrief""}"
