id,market_id,round_number,opened_at,closed_at,opening_price,closing_price,bayesian_benchmark
1,1,1,2026-05-29 13:31:03.92107+00,2026-05-29 13:31:48.987404+00,0.5,0.999604,0.35
2,2,1,2026-05-29 13:31:05.337342+00,2026-05-29 13:31:50.395267+00,0.5,0.833566,0.012954
4,4,1,2026-05-29 13:34:27.839034+00,2026-05-29 13:36:18.865996+00,0.5,0.87484,0.65
3,3,1,2026-05-29 13:34:25.742482+00,2026-05-29 13:36:20.683531+00,0.5,0.666955,0.35
6,4,2,2026-05-29 13:36:49.031492+00,2026-05-29 13:38:37.063274+00,0.87484,0.719997,0.956694
5,3,2,2026-05-29 13:36:47.3219+00,2026-05-29 13:38:38.568703+00,0.666955,0.648194,0.35
8,4,3,2026-05-29 13:38:43.816278+00,2026-05-29 13:40:26.059848+00,0.719997,0.791391,0.35
7,3,3,2026-05-29 13:38:41.649618+00,2026-05-29 13:40:27.980132+00,0.648194,0.962673,0.987046
10,4,4,2026-05-29 13:40:32.596808+00,2026-05-29 13:42:10.674321+00,0.791391,0.786768,0.956694
9,3,4,2026-05-29 13:40:30.909681+00,2026-05-29 13:42:11.969671+00,0.962673,0.991656,0.35
12,4,5,2026-05-29 13:42:17.191898+00,2026-05-29 13:43:54.770497+00,0.786768,0.364576,0.65
11,3,5,2026-05-29 13:42:15.347257+00,2026-05-29 13:43:57.689784+00,0.991656,0.825715,0.987046
14,6,1,2026-05-29 13:48:12.434676+00,2026-05-29 13:50:02.531772+00,0.5,0.79594,0.85
13,5,1,2026-05-29 13:48:10.812888+00,2026-05-29 13:50:04.001942+00,0.5,0.851953,0.005466
15,5,2,2026-05-29 13:50:07.517778+00,2026-05-29 13:51:52.369421+00,0.851953,0.894626,0.15
16,6,2,2026-05-29 13:50:09.039601+00,2026-05-29 13:51:54.196766+00,0.79594,0.821681,0.994534
18,5,3,2026-05-29 13:51:57.841341+00,2026-05-29 13:53:36.038274+00,0.894626,0.87785,0.005466
17,6,3,2026-05-29 13:51:56.383476+00,2026-05-29 13:53:39.970993+00,0.821681,0.858824,0.85
21,5,4,2026-05-29 13:53:45.590655+00,2026-05-29 13:55:23.234925+00,0.87785,0.628965,0.005466
20,6,4,2026-05-29 13:53:43.80024+00,2026-05-29 13:55:24.875674+00,0.858824,0.87484,0.15
23,5,5,2026-05-29 13:55:28.464696+00,2026-05-29 13:57:09.618607+00,0.628965,0.333045,0.85
22,6,5,2026-05-29 13:55:27.058252+00,2026-05-29 13:57:20.058718+00,0.87484,0.825715,0.994534
24,7,1,2026-05-29 13:59:07.148956+00,2026-05-29 14:00:48.396132+00,0.5,0.280003,0.5
25,8,1,2026-05-29 13:59:08.800541+00,2026-05-29 14:00:49.913452+00,0.5,0.25816,0.5
26,8,2,2026-05-29 14:00:54.495371+00,2026-05-29 14:02:36.191882+00,0.25816,0.268941,0.5
27,7,2,2026-05-29 14:00:56.162625+00,2026-05-29 14:02:37.465003+00,0.280003,0.38409,0.5
29,8,3,2026-05-29 14:02:40.801349+00,2026-05-29 14:04:22.100089+00,0.268941,0.4242,0.5
28,7,3,2026-05-29 14:02:39.472679+00,2026-05-29 14:04:24.197368+00,0.38409,0.128234,0.5
30,7,4,2026-05-29 14:04:26.816343+00,2026-05-29 14:06:04.118449+00,0.128234,0.018994,0.5
31,8,4,2026-05-29 14:04:28.508364+00,2026-05-29 14:06:05.643041+00,0.4242,0.155192,0.5
33,7,5,2026-05-29 14:06:09.150595+00,2026-05-29 14:08:04.621063+00,0.018994,1.0e-06,0.5
32,8,5,2026-05-29 14:06:07.496042+00,2026-05-29 14:08:06.215082+00,0.155192,0.12516,0.5
35,10,1,2026-05-29 14:10:00.647848+00,2026-05-29 14:11:46.910543+00,0.5,0.302941,0.15
34,9,1,2026-05-29 14:09:59.13721+00,2026-05-29 14:11:48.423135+00,0.5,0.666955,0.85
36,9,2,2026-05-29 14:11:49.930067+00,2026-05-29 14:13:30.304901+00,0.666955,0.804815,0.994534
37,10,2,2026-05-29 14:11:51.200239+00,2026-05-29 14:13:31.62987+00,0.302941,0.660756,0.005466
39,9,3,2026-05-29 14:13:34.634691+00,2026-05-29 14:15:13.56465+00,0.804815,0.736485,0.85
38,10,3,2026-05-29 14:13:33.282956+00,2026-05-29 14:15:15.462733+00,0.660756,0.938325,0.005466
40,10,4,2026-05-29 14:15:18.161413+00,2026-05-29 14:17:29.000276+00,0.938325,0.982498,0.005466
41,9,4,2026-05-29 14:15:19.780969+00,2026-05-29 14:17:30.445357+00,0.736485,0.87785,0.994534
43,10,5,2026-05-29 14:17:33.735549+00,2026-05-29 14:19:14.319886+00,0.982498,0.685201,0.005466
42,9,5,2026-05-29 14:17:32.30003+00,2026-05-29 14:19:16.071003+00,0.87785,0.833566,0.85
