id,round_id,participant_id,signal_value,theta,posterior,delivered,delivered_at,rng_seed
1,1,P05,L,0.65,0.35,false,2026-05-29 13:31:03.91975+00,0a0fbc41df694d3b
2,1,P01,H,0.65,0.65,false,2026-05-29 13:31:03.91975+00,a2cdace693fdda06
3,1,P09,L,0.65,0.35,false,2026-05-29 13:31:03.91975+00,1bb14057d0a6fa31
4,1,P08,L,0.65,0.35,false,2026-05-29 13:31:03.91975+00,3977debc993d01e7
5,1,P03,H,0.65,0.65,false,2026-05-29 13:31:03.91975+00,bfda46e4c30f498e
6,1,P07,L,0.65,0.35,false,2026-05-29 13:31:03.91975+00,d7ed2e5e1123d2cf
7,1,P04,H,0.65,0.65,false,2026-05-29 13:31:03.91975+00,f0d57d7b2d5f7d31
8,1,P02,L,0.65,0.35,false,2026-05-29 13:31:03.91975+00,e8b3a078453ddc6c
9,1,P06,H,0.65,0.65,false,2026-05-29 13:31:03.91975+00,6d7610c3a64e2672
10,2,P03,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,b027b12cb71faa0d
11,2,P02,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,1171b94a11b0763d
12,2,P08,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,9c7f9d0f1f320049
13,2,P01,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,d42a507836bd3825
14,2,P06,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,6d5d28bae77d7014
15,2,P04,H,0.65,0.65,false,2026-05-29 13:31:05.332022+00,a222029c5df1822c
16,2,P09,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,d4ca9422ecc565ff
17,2,P05,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,531177b3ddb3c5c0
18,2,P07,L,0.65,0.35,false,2026-05-29 13:31:05.332022+00,5d557fbe9deb1c76
19,3,P01,H,0.65,0.65,false,2026-05-29 13:34:25.74096+00,1ba263783a5193fb
20,3,P02,L,0.65,0.35,false,2026-05-29 13:34:25.74096+00,3f643256c912999d
21,3,P03,L,0.65,0.35,false,2026-05-29 13:34:25.74096+00,277c22059ecaacaf
22,3,P04,L,0.65,0.35,false,2026-05-29 13:34:25.74096+00,d33ae4b195554d03
23,3,P05,L,0.65,0.35,false,2026-05-29 13:34:25.74096+00,665e4d7c036dca6f
24,3,P06,H,0.65,0.65,false,2026-05-29 13:34:25.74096+00,f442809a84ee3ee1
25,3,P07,H,0.65,0.65,false,2026-05-29 13:34:25.74096+00,f768fbba6130d78a
26,3,P08,H,0.65,0.65,false,2026-05-29 13:34:25.74096+00,3fddb062c083fd06
27,3,P09,L,0.65,0.35,false,2026-05-29 13:34:25.74096+00,b715620c1da8d985
28,4,P01,H,0.65,0.65,false,2026-05-29 13:34:27.837544+00,1176c057b51c878a
29,4,P02,L,0.65,0.35,false,2026-05-29 13:34:27.837544+00,913109488280e3ef
30,4,P03,H,0.65,0.65,false,2026-05-29 13:34:27.837544+00,257680c4fe5610e0
31,4,P04,L,0.65,0.35,false,2026-05-29 13:34:27.837544+00,a372dd4fa99a50b9
32,4,P05,L,0.65,0.35,false,2026-05-29 13:34:27.837544+00,09bf620f9c8980d2
33,4,P06,H,0.65,0.65,false,2026-05-29 13:34:27.837544+00,da57908b3548656a
34,4,P07,L,0.65,0.35,false,2026-05-29 13:34:27.837544+00,93e38a0872815293
35,4,P08,H,0.65,0.65,false,2026-05-29 13:34:27.837544+00,1913be83b7b9b7e3
36,4,P09,H,0.65,0.65,false,2026-05-29 13:34:27.837544+00,948d841bd33f3f09
37,5,P04,L,0.65,0.35,false,2026-05-29 13:36:47.320408+00,16c283c85d222087
38,5,P06,H,0.65,0.65,false,2026-05-29 13:36:47.320408+00,d43a9689a88c028f
39,5,P03,L,0.65,0.35,false,2026-05-29 13:36:47.320408+00,0e8472da4b81b7b3
