session_id,participant_id,total_tokens,rank,prize_eur,computed_at,paid_at
1,P08,1009.3803,1,5.0,2026-05-29 14:20:23.97542+00,
1,P05,819.0115,2,3.0,2026-05-29 14:20:23.97542+00,
1,P03,700.0,3,2.0,2026-05-29 14:20:23.97542+00,
1,P02,619.2273,4,0.0,2026-05-29 14:20:23.97542+00,
1,P06,469.6716,5,0.0,2026-05-29 14:20:23.97542+00,
1,P09,418.6061,6,0.0,2026-05-29 14:20:23.97542+00,
1,P01,369.7097,7,0.0,2026-05-29 14:20:23.97542+00,
1,P04,257.7527,8,0.0,2026-05-29 14:20:23.97542+00,
1,P07,207.3703,9,0.0,2026-05-29 14:20:23.97542+00,
2,P09,893.7581,1,5.0,2026-05-29 14:20:25.80141+00,
2,P02,840.0204,2,3.0,2026-05-29 14:20:25.80141+00,
2,P05,793.1479,3,2.0,2026-05-29 14:20:25.80141+00,
2,P03,732.2355,4,0.0,2026-05-29 14:20:25.80141+00,
2,P04,718.1683,5,0.0,2026-05-29 14:20:25.80141+00,
2,P08,425.0397,6,0.0,2026-05-29 14:20:25.80141+00,
2,P06,415.2057,7,0.0,2026-05-29 14:20:25.80141+00,
2,P07,384.7515,8,0.0,2026-05-29 14:20:25.80141+00,
2,P01,192.8996,9,0.0,2026-05-29 14:20:25.80141+00,
