id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at
1,2,P09,no,20,11.3714,0.5,0.364576,0.0,20.0,2026-05-29 13:31:17.802783+00
2,2,P09,no,20,13.9199,0.364576,0.247664,0.0,40.0,2026-05-29 13:31:19.027173+00
3,2,P05,yes,20,6.0801,0.247664,0.364576,20.0,40.0,2026-05-29 13:31:21.100107+00
4,2,P09,yes,15,6.2153,0.364576,0.465333,35.0,40.0,2026-05-29 13:31:23.790991+00
5,2,P01,yes,15,7.7594,0.465333,0.569001,50.0,40.0,2026-05-29 13:31:24.157138+00
6,2,P09,yes,15,9.2818,0.569001,0.666955,65.0,40.0,2026-05-29 13:31:25.013907+00
7,2,P01,yes,15,10.6634,0.666955,0.752336,80.0,40.0,2026-05-29 13:31:25.220078+00
8,2,P01,yes,15,11.8259,0.752336,0.821681,95.0,40.0,2026-05-29 13:31:25.491467+00
9,2,P01,yes,15,12.7432,0.821681,0.87484,110.0,40.0,2026-05-29 13:31:25.695387+00
10,2,P07,yes,20,18.0263,0.87484,0.924142,130.0,40.0,2026-05-29 13:31:25.896025+00
11,2,P01,yes,15,14.0572,0.924142,0.948664,145.0,40.0,2026-05-29 13:31:25.954868+00
12,2,P01,yes,15,14.3647,0.948664,0.965555,160.0,40.0,2026-05-29 13:31:26.204494+00
13,1,P02,yes,1,0.5035,0.5,0.506944,1.0,0.0,2026-05-29 13:31:26.415828+00
14,1,P01,yes,3,1.5521,0.506944,0.527749,4.0,0.0,2026-05-29 13:31:27.256241+00
15,1,P02,yes,1,0.5312,0.527749,0.534667,5.0,0.0,2026-05-29 13:31:27.442388+00
16,1,P08,yes,18,10.7197,0.534667,0.654502,23.0,0.0,2026-05-29 13:31:28.217311+00
17,1,P06,yes,1,0.6576,0.654502,0.660756,24.0,0.0,2026-05-29 13:31:28.693818+00
18,1,P02,yes,1,0.6639,0.660756,0.666955,25.0,0.0,2026-05-29 13:31:29.005684+00
19,2,P04,yes,1,0.966,0.965555,0.966467,161.0,40.0,2026-05-29 13:31:29.057106+00
20,1,P01,yes,3,2.0284,0.666955,0.685201,28.0,0.0,2026-05-29 13:31:29.629368+00
21,1,P08,yes,20,14.8131,0.685201,0.791391,48.0,0.0,2026-05-29 13:31:30.722915+00
22,1,P08,yes,20,16.6476,0.791391,0.868629,68.0,0.0,2026-05-29 13:31:30.914873+00
23,1,P08,yes,20,17.9255,0.868629,0.920154,88.0,0.0,2026-05-29 13:31:31.080207+00
24,1,P01,yes,3,2.7694,0.920154,0.926066,91.0,0.0,2026-05-29 13:31:31.227627+00
25,1,P02,yes,1,0.927,0.926066,0.927946,92.0,0.0,2026-05-29 13:31:31.306313+00
26,1,P01,yes,3,2.792,0.927946,0.933323,95.0,0.0,2026-05-29 13:31:31.428943+00
27,1,P04,yes,20,18.962,0.933323,0.960625,115.0,0.0,2026-05-29 13:31:31.671534+00
28,2,P01,yes,5,-4.8206,0.966467,0.961662,156.0,40.0,2026-05-29 13:31:32.694238+00
29,1,P08,yes,20,19.3907,0.960625,0.977023,135.0,0.0,2026-05-29 13:31:32.736762+00
30,2,P01,yes,5,-4.7949,0.961662,0.9562,151.0,40.0,2026-05-29 13:31:32.860655+00
31,2,P01,yes,5,-4.7658,0.9562,0.95,146.0,40.0,2026-05-29 13:31:33.006285+00
32,2,P01,yes,5,-4.7328,0.95,0.942975,141.0,40.0,2026-05-29 13:31:33.167909+00
33,2,P01,yes,5,-4.6954,0.942975,0.935031,136.0,40.0,2026-05-29 13:31:33.307946+00
34,2,P01,yes,5,-4.6532,0.935031,0.926066,131.0,40.0,2026-05-29 13:31:33.475451+00
35,1,P08,yes,20,19.6457,0.977023,0.986686,155.0,0.0,2026-05-29 13:31:33.577287+00
36,2,P01,yes,5,-4.6056,0.926066,0.915976,126.0,40.0,2026-05-29 13:31:33.638228+00
37,2,P01,yes,5,-4.5521,0.915976,0.904651,121.0,40.0,2026-05-29 13:31:33.782593+00
38,1,P04,yes,20,19.7951,0.986686,0.992318,175.0,0.0,2026-05-29 13:31:33.934589+00
39,2,P09,no,20,2.4638,0.904651,0.844808,121.0,60.0,2026-05-29 13:31:34.275509+00
40,1,P02,yes,1,0.9924,0.992318,0.992526,176.0,0.0,2026-05-29 13:31:34.297263+00
41,2,P01,yes,5,-4.177,0.844808,0.825715,116.0,60.0,2026-05-29 13:31:34.346649+00
42,1,P02,yes,1,0.9926,0.992526,0.99273,177.0,0.0,2026-05-29 13:31:34.524905+00
43,1,P06,yes,1,0.9928,0.99273,0.992928,178.0,0.0,2026-05-29 13:31:34.765575+00
44,2,P01,yes,5,-4.0771,0.825715,0.804815,111.0,60.0,2026-05-29 13:31:34.806491+00
45,2,P01,yes,5,-3.968,0.804815,0.782071,106.0,60.0,2026-05-29 13:31:35.012053+00
46,2,P01,yes,5,-3.8496,0.782071,0.757476,101.0,60.0,2026-05-29 13:31:35.215032+00
47,2,P01,yes,5,-3.7221,0.757476,0.731059,96.0,60.0,2026-05-29 13:31:35.522363+00
48,1,P02,yes,1,0.993,0.992928,0.99312,179.0,0.0,2026-05-29 13:31:35.54483+00
49,2,P01,yes,5,-3.5856,0.731059,0.702893,91.0,60.0,2026-05-29 13:31:35.72837+00
50,1,P07,no,4,0.0291,0.99312,0.992318,179.0,4.0,2026-05-29 13:31:35.760347+00
51,1,P02,yes,1,0.9924,0.992318,0.992526,180.0,4.0,2026-05-29 13:31:35.782676+00
52,2,P01,yes,5,-3.4406,0.702893,0.673096,86.0,60.0,2026-05-29 13:31:35.933739+00
53,2,P02,yes,5,3.4406,0.673096,0.702893,91.0,60.0,2026-05-29 13:31:36.092109+00
54,2,P01,yes,5,-3.4406,0.702893,0.673096,86.0,60.0,2026-05-29 13:31:36.139297+00
55,2,P02,yes,5,3.4406,0.673096,0.702893,91.0,60.0,2026-05-29 13:31:36.254798+00
56,2,P01,yes,5,-3.4406,0.702893,0.673096,86.0,60.0,2026-05-29 13:31:36.354163+00
57,2,P01,yes,5,-3.2879,0.673096,0.641834,81.0,60.0,2026-05-29 13:31:36.650107+00
58,2,P09,yes,20,14.0362,0.641834,0.757476,101.0,60.0,2026-05-29 13:31:36.674899+00
59,1,P02,yes,1,0.9926,0.992526,0.99273,181.0,4.0,2026-05-29 13:31:36.744211+00
60,1,P02,yes,1,0.9928,0.99273,0.992928,182.0,4.0,2026-05-29 13:31:36.967615+00
61,2,P02,yes,5,3.8496,0.757476,0.782071,106.0,60.0,2026-05-29 13:31:37.073122+00
62,2,P09,yes,20,16.4902,0.782071,0.862158,126.0,60.0,2026-05-29 13:31:37.120175+00
63,2,P09,yes,20,17.8202,0.862158,0.915976,146.0,60.0,2026-05-29 13:31:37.347312+00
64,1,P02,yes,1,0.993,0.992928,0.99312,183.0,4.0,2026-05-29 13:31:37.458237+00
65,1,P02,yes,1,0.9932,0.99312,0.993307,184.0,4.0,2026-05-29 13:31:37.87982+00
66,2,P02,yes,5,4.6056,0.915976,0.926066,151.0,60.0,2026-05-29 13:31:38.07573+00
67,1,P02,yes,1,0.9934,0.993307,0.993489,185.0,4.0,2026-05-29 13:31:38.643283+00
68,1,P02,yes,1,0.9936,0.993489,0.993667,186.0,4.0,2026-05-29 13:31:39.325848+00
69,1,P02,yes,1,0.9938,0.993667,0.993839,187.0,4.0,2026-05-29 13:31:40.008832+00
70,1,P02,yes,1,0.9939,0.993839,0.994007,188.0,4.0,2026-05-29 13:31:40.18793+00
71,1,P05,yes,20,19.9079,0.994007,0.996553,208.0,4.0,2026-05-29 13:31:40.665208+00
72,1,P02,yes,1,0.9966,0.996553,0.996647,209.0,4.0,2026-05-29 13:31:40.730709+00
73,1,P01,yes,1,0.9967,0.996647,0.996738,210.0,4.0,2026-05-29 13:31:40.94954+00
74,1,P08,no,3,0.0102,0.996738,0.996456,210.0,7.0,2026-05-29 13:31:40.979319+00
75,2,P09,no,20,1.9249,0.926066,0.87785,151.0,80.0,2026-05-29 13:31:41.34787+00
76,1,P01,yes,1,0.9965,0.996456,0.996553,211.0,7.0,2026-05-29 13:31:41.553997+00
77,2,P09,no,20,3.127,0.87785,0.804815,151.0,100.0,2026-05-29 13:31:41.822675+00
78,1,P01,yes,1,0.9966,0.996553,0.996647,212.0,7.0,2026-05-29 13:31:42.189527+00
79,1,P01,yes,1,0.9967,0.996647,0.996738,213.0,7.0,2026-05-29 13:31:42.453985+00
80,1,P01,yes,1,0.9968,0.996738,0.996827,214.0,7.0,2026-05-29 13:31:42.6913+00
81,1,P01,yes,1,0.9969,0.996827,0.996914,215.0,7.0,2026-05-29 13:31:42.857592+00
82,1,P02,yes,1,0.997,0.996914,0.996998,216.0,7.0,2026-05-29 13:31:42.901674+00
83,1,P01,yes,1,0.997,0.996998,0.99708,217.0,7.0,2026-05-29 13:31:43.027949+00
84,1,P04,yes,20,19.9552,0.99708,0.998323,237.0,7.0,2026-05-29 13:31:43.152022+00
85,1,P01,yes,1,0.9983,0.998323,0.998369,238.0,7.0,2026-05-29 13:31:43.208581+00
86,1,P01,yes,1,0.9984,0.998369,0.998413,239.0,7.0,2026-05-29 13:31:43.37488+00
87,1,P01,yes,1,0.9984,0.998413,0.998457,240.0,7.0,2026-05-29 13:31:43.556718+00
88,1,P04,yes,20,19.9763,0.998457,0.999114,260.0,7.0,2026-05-29 13:31:43.806838+00
89,2,P06,yes,1,0.807,0.804815,0.809142,152.0,100.0,2026-05-29 13:31:44.027455+00
90,1,P02,yes,1,0.9991,0.999114,0.999138,261.0,7.0,2026-05-29 13:31:44.13764+00
92,1,P02,yes,1,0.9995,0.999505,0.999519,282.0,7.0,2026-05-29 13:31:44.871701+00
105,2,P01,yes,1,0.8316,0.829676,0.833566,158.0,100.0,2026-05-29 13:31:48.426274+00
106,1,P02,yes,1,0.9996,0.999581,0.999593,291.0,10.0,2026-05-29 13:31:48.452714+00
1277,25,P05,yes,1,0.5035,0.5,0.506944,1.0,0.0,2026-05-29 13:59:10.303922+00
1278,24,P08,yes,1,0.5035,0.5,0.506944,1.0,0.0,2026-05-29 13:59:10.39073+00
1282,25,P04,no,1,0.4896,0.513885,0.506944,3.0,2.0,2026-05-29 13:59:10.680838+00
1289,25,P05,yes,1,0.5381,0.534667,0.54157,9.0,3.0,2026-05-29 13:59:11.577524+00
1293,25,P05,yes,1,0.5656,0.562177,0.569001,13.0,3.0,2026-05-29 13:59:12.160587+00
1294,25,P08,yes,1,0.5724,0.569001,0.5758,14.0,3.0,2026-05-29 13:59:12.248963+00
1296,25,P09,no,20,9.7241,0.58257,0.444672,15.0,23.0,2026-05-29 13:59:12.327922+00
1298,25,P05,yes,1,0.455,0.451541,0.45843,17.0,23.0,2026-05-29 13:59:12.441295+00
1300,25,P08,yes,1,0.4688,0.465333,0.472251,19.0,23.0,2026-05-29 13:59:12.618939+00
1302,25,P08,yes,1,0.4826,0.479179,0.486115,21.0,23.0,2026-05-29 13:59:12.769375+00
1306,24,P02,no,20,8.4935,0.641834,0.506944,21.0,20.0,2026-05-29 13:59:12.9692+00
1308,25,P05,yes,1,0.5104,0.506944,0.513885,25.0,23.0,2026-05-29 13:59:13.159726+00
1312,24,P05,yes,6,3.1664,0.506944,0.548459,27.0,20.0,2026-05-29 13:59:13.63553+00
1319,25,P05,yes,1,0.5519,0.548459,0.555328,33.0,25.0,2026-05-29 13:59:14.428125+00
1328,25,P01,no,10,5.1386,0.520821,0.451541,38.0,45.0,2026-05-29 13:59:15.618619+00
1338,25,P02,yes,20,3.5906,0.141176,0.2227,60.0,105.0,2026-05-29 13:59:16.589073+00
1348,24,P04,no,20,16.7992,0.199585,0.12516,30.0,100.0,2026-05-29 13:59:17.5886+00
1363,25,P06,yes,1,0.034,0.033533,0.034445,85.0,205.0,2026-05-29 13:59:18.890499+00
1370,25,P08,yes,1,0.0289,0.028532,0.029312,89.0,215.0,2026-05-29 13:59:19.534924+00
1375,25,P08,yes,1,0.0534,0.052706,0.05411,112.0,215.0,2026-05-29 13:59:19.981056+00
1377,24,P08,yes,1,0.0135,0.013314,0.013684,26.0,180.0,2026-05-29 13:59:20.108515+00
1389,25,P02,yes,20,4.1968,0.166434,0.25816,177.0,215.0,2026-05-29 13:59:21.221456+00
1400,25,P08,yes,1,0.2828,0.280003,0.285638,182.0,215.0,2026-05-29 13:59:22.366869+00
1406,25,P08,yes,1,0.2942,0.291339,0.297107,184.0,215.0,2026-05-29 13:59:23.500912+00
1408,24,P04,no,10,9.8244,0.020058,0.015267,40.0,190.0,2026-05-29 13:59:23.604829+00
1413,25,P08,yes,1,0.3,0.297107,0.302941,185.0,215.0,2026-05-29 13:59:24.388282+00
1424,25,P06,yes,1,0.3239,0.320821,0.326904,189.0,215.0,2026-05-29 13:59:25.75316+00
1429,24,P08,yes,1,0.0155,0.015267,0.01569,61.0,210.0,2026-05-29 13:59:26.769911+00
1433,24,P05,yes,12,0.3934,0.027772,0.038338,94.0,210.0,2026-05-29 13:59:28.297115+00
1435,24,P08,yes,4,0.2738,0.064969,0.072054,118.0,210.0,2026-05-29 13:59:28.938222+00
1440,24,P04,no,2,1.6896,0.158869,0.151585,150.0,212.0,2026-05-29 13:59:29.605257+00
1441,24,P02,yes,20,3.8416,0.151585,0.237458,170.0,212.0,2026-05-29 13:59:29.800169+00
1445,24,P08,yes,4,1.5894,0.38409,0.410691,199.0,212.0,2026-05-29 13:59:30.327217+00
1446,24,P01,yes,1,0.4141,0.410691,0.41743,200.0,212.0,2026-05-29 13:59:30.645771+00
1448,24,P02,yes,20,9.7241,0.41743,0.555328,220.0,212.0,2026-05-29 13:59:31.879131+00
1455,24,P01,yes,1,0.5859,0.58257,0.589309,245.0,232.0,2026-05-29 13:59:32.819433+00
1465,25,P01,yes,1,0.2942,0.291339,0.297107,204.0,235.0,2026-05-29 13:59:34.42597+00
1467,25,P01,yes,1,0.3059,0.302941,0.308838,206.0,235.0,2026-05-29 13:59:34.76914+00
1472,25,P01,yes,1,0.3361,0.333045,0.339244,211.0,235.0,2026-05-29 13:59:35.618941+00
1475,25,P01,yes,1,0.355,0.351806,0.358166,214.0,235.0,2026-05-29 13:59:36.084909+00
1482,25,P01,yes,1,0.2662,0.263515,0.268941,219.0,255.0,2026-05-29 13:59:36.95807+00
1485,25,P01,yes,1,0.2828,0.280003,0.285638,222.0,255.0,2026-05-29 13:59:37.41085+00
1489,25,P01,yes,1,0.3,0.297107,0.302941,225.0,255.0,2026-05-29 13:59:37.893264+00
1496,25,P01,yes,1,0.3424,0.339244,0.345498,232.0,255.0,2026-05-29 13:59:39.043463+00
1501,24,P01,yes,4,3.0092,0.74184,0.762542,275.0,233.0,2026-05-29 13:59:39.729403+00
1504,25,P01,yes,1,0.3874,0.38409,0.390682,239.0,255.0,2026-05-29 13:59:40.225091+00
1513,25,P07,no,20,12.5639,0.437823,0.308838,246.0,275.0,2026-05-29 13:59:41.51369+00
1518,25,P02,yes,20,-3.5098,0.217929,0.137842,229.0,295.0,2026-05-29 13:59:42.120436+00
1521,25,P01,yes,1,0.1463,0.144578,0.148047,232.0,295.0,2026-05-29 13:59:42.482852+00
1527,25,P03,yes,8,1.6705,0.190858,0.227546,251.0,295.0,2026-05-29 13:59:43.390513+00
