trade_id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at
1278,24,P08,yes,1,0.5035,0.5,0.506944,1.0,0.0,2026-05-29T13:59:10.390730+00:00
1306,24,P02,no,20,8.4935,0.641834,0.506944,21.0,20.0,2026-05-29T13:59:12.969200+00:00
1312,24,P05,yes,6,3.1664,0.506944,0.548459,27.0,20.0,2026-05-29T13:59:13.635530+00:00
1348,24,P04,no,20,16.7992,0.199585,0.12516,30.0,100.0,2026-05-29T13:59:17.588600+00:00
1377,24,P08,yes,1,0.0135,0.013314,0.013684,26.0,180.0,2026-05-29T13:59:20.108515+00:00
1408,24,P04,no,10,9.8244,0.020058,0.015267,40.0,190.0,2026-05-29T13:59:23.604829+00:00
1429,24,P08,yes,1,0.0155,0.015267,0.01569,61.0,210.0,2026-05-29T13:59:26.769911+00:00
1433,24,P05,yes,12,0.3934,0.027772,0.038338,94.0,210.0,2026-05-29T13:59:28.297115+00:00
1435,24,P08,yes,4,0.2738,0.064969,0.072054,118.0,210.0,2026-05-29T13:59:28.938222+00:00
1440,24,P04,no,2,1.6896,0.158869,0.151585,150.0,212.0,2026-05-29T13:59:29.605257+00:00
1441,24,P02,yes,20,3.8416,0.151585,0.237458,170.0,212.0,2026-05-29T13:59:29.800169+00:00
1445,24,P08,yes,4,1.5894,0.38409,0.410691,199.0,212.0,2026-05-29T13:59:30.327217+00:00
1446,24,P01,yes,1,0.4141,0.410691,0.41743,200.0,212.0,2026-05-29T13:59:30.645771+00:00
1448,24,P02,yes,20,9.7241,0.41743,0.555328,220.0,212.0,2026-05-29T13:59:31.879131+00:00
1455,24,P01,yes,1,0.5859,0.58257,0.589309,245.0,232.0,2026-05-29T13:59:32.819433+00:00
1501,24,P01,yes,4,3.0092,0.74184,0.762542,275.0,233.0,2026-05-29T13:59:39.729403+00:00
1529,24,P04,no,1,0.0942,0.90702,0.904651,315.0,234.0,2026-05-29T13:59:44.525796+00:00
1534,24,P05,yes,4,-3.6722,0.922171,0.913813,322.0,237.0,2026-05-29T13:59:47.357549+00:00
1540,24,P05,yes,6,-5.6098,0.939913,0.929781,331.0,238.0,2026-05-29T13:59:52.443545+00:00
1553,24,P05,yes,6,-5.7571,0.962673,0.9562,349.0,238.0,2026-05-29T14:00:00.928545+00:00
1570,24,P06,no,20,9.5862,0.589309,0.451541,354.0,361.0,2026-05-29T14:00:08.417038+00:00
1577,24,P06,no,20,16.6476,0.208609,0.131371,354.0,422.0,2026-05-29T14:00:09.569102+00:00
1590,24,P08,yes,1,0.073,0.072054,0.073934,355.0,446.0,2026-05-29T14:00:12.788251+00:00
1591,24,P08,yes,1,0.0749,0.073934,0.075858,356.0,446.0,2026-05-29T14:00:12.947037+00:00
1593,24,P08,yes,1,0.0768,0.075858,0.077829,357.0,446.0,2026-05-29T14:00:13.124796+00:00
1596,24,P08,yes,1,0.083,0.081911,0.084024,360.0,446.0,2026-05-29T14:00:13.429371+00:00
1603,24,P08,yes,1,0.099,0.097773,0.10025,367.0,446.0,2026-05-29T14:00:14.599392+00:00
1610,24,P08,yes,1,0.1267,0.12516,0.128234,377.0,446.0,2026-05-29T14:00:15.322216+00:00
1616,24,P08,yes,1,0.1463,0.144578,0.148047,383.0,446.0,2026-05-29T14:00:16.346469+00:00
1618,24,P08,yes,1,0.1534,0.151585,0.155192,385.0,446.0,2026-05-29T14:00:16.519362+00:00
1625,24,P08,yes,1,0.1804,0.178319,0.182426,392.0,446.0,2026-05-29T14:00:18.508882+00:00
1627,24,P08,yes,1,0.1887,0.186605,0.190858,394.0,446.0,2026-05-29T14:00:18.876791+00:00
1633,24,P08,yes,1,0.2109,0.208609,0.213232,399.0,446.0,2026-05-29T14:00:19.803393+00:00
1634,24,P08,yes,1,0.2156,0.213232,0.217929,400.0,446.0,2026-05-29T14:00:19.990341+00:00
1639,24,P06,yes,20,8.2249,0.345498,0.479179,443.0,446.0,2026-05-29T14:00:21.163476+00:00
1644,24,P01,yes,1,0.4896,0.486115,0.493056,445.0,446.0,2026-05-29T14:00:25.503720+00:00
1320,24,P02,no,20,10.4138,0.548459,0.410691,27.0,40.0,2026-05-29T13:59:14.544369+00:00
1345,24,P02,no,20,12.6924,0.430999,0.302941,30.0,60.0,2026-05-29T13:59:17.374862+00:00
1349,24,P04,no,20,18.0263,0.12516,0.075858,30.0,120.0,2026-05-29T13:59:17.738822+00:00
1388,24,P08,yes,1,0.0155,0.015267,0.01569,31.0,180.0,2026-05-29T13:59:21.176262+00:00
1399,24,P08,yes,1,0.0182,0.017986,0.018483,37.0,180.0,2026-05-29T13:59:22.282605+00:00
1402,24,P01,yes,1,-0.0187,0.018994,0.018483,37.0,180.0,2026-05-29T13:59:22.881763+00:00
1404,24,P08,yes,1,0.0187,0.018483,0.018994,38.0,180.0,2026-05-29T13:59:23.168813+00:00
1411,24,P08,yes,1,0.0163,0.016125,0.016572,43.0,190.0,2026-05-29T13:59:24.210946+00:00
1428,24,P06,no,20,19.594,0.026311,0.015267,60.0,210.0,2026-05-29T13:59:26.530669+00:00
1436,24,P08,yes,4,0.3036,0.072054,0.079846,122.0,210.0,2026-05-29T13:59:29.098985+00:00
1444,24,P02,yes,20,6.4364,0.263515,0.38409,195.0,212.0,2026-05-29T13:59:30.307314+00:00
1451,24,P01,yes,1,0.4276,0.4242,0.430999,222.0,232.0,2026-05-29T13:59:32.284268+00:00
1456,24,P02,yes,20,13.0722,0.589309,0.714362,265.0,232.0,2026-05-29T13:59:33.180350+00:00
1531,24,P09,no,2,0.1479,0.927946,0.924142,326.0,236.0,2026-05-29T13:59:44.818759+00:00
1536,24,P01,yes,15,13.9269,0.913813,0.941463,337.0,237.0,2026-05-29T13:59:49.172734+00:00
1559,24,P06,no,20,1.038,0.960625,0.933323,354.0,259.0,2026-05-29T14:00:06.001112+00:00
1561,24,P09,no,2,0.227,0.889273,0.883683,354.0,281.0,2026-05-29T14:00:06.852680+00:00
1563,24,P06,no,20,2.9837,0.883683,0.813395,354.0,301.0,2026-05-29T14:00:07.285074+00:00
1573,24,P06,no,20,14.7062,0.320821,0.213232,354.0,401.0,2026-05-29T14:00:09.171526+00:00
1578,24,P08,no,1,0.8702,0.131371,0.128234,354.0,423.0,2026-05-29T14:00:09.738149+00:00
1579,24,P08,no,1,0.8733,0.128234,0.12516,354.0,424.0,2026-05-29T14:00:09.885414+00:00
1595,24,P09,yes,1,0.0809,0.079846,0.081911,359.0,446.0,2026-05-29T14:00:13.291292+00:00
1602,24,P08,yes,1,0.0966,0.095349,0.097773,366.0,446.0,2026-05-29T14:00:14.430232+00:00
1609,24,P09,yes,1,0.1237,0.12215,0.12516,376.0,446.0,2026-05-29T14:00:15.302187+00:00
1613,24,P08,yes,1,0.1362,0.134574,0.137842,380.0,446.0,2026-05-29T14:00:15.815841+00:00
